Report file after 384000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 2: @[SBOX_s5_refreshed[5](2)] ==> [SBOX_s4_regOut_0__2__3_(2), SBOX_s4_regOut_0__2__2_(2), SBOX_s4_regOut_0__2__1_(2), SBOX_s4_regOut_0__2__0_(2), SBOX_s4_regOut_0__1__3_(2), SBOX_s4_regOut_0__1__2_(2), SBOX_s4_regOut_0__1__1_(2), SBOX_s4_regOut_0__1__0_(2), SBOX_stage4Out[0](2), SBOX_stage4Out[1](2), SBOX_stage4Out[2](2), SBOX_stage4Out[3](2), randomS5[5](2), SBOX_s4_regOut_0__2__3_(1), SBOX_s4_regOut_0__2__2_(1), SBOX_s4_regOut_0__2__1_(1), SBOX_s4_regOut_0__2__0_(1), SBOX_s4_regOut_0__1__3_(1), SBOX_s4_regOut_0__1__2_(1), SBOX_s4_regOut_0__1__1_(1), SBOX_s4_regOut_0__1__0_(1), SBOX_stage4Out[0](1), SBOX_stage4Out[1](1), SBOX_stage4Out[2](1), SBOX_stage4Out[3](1), randomS5[5](1)] -log10(p) = 1.88314 --> OKAY
Cycle 3: @[SBOX_stage6Out[1](3)] ==> [SBOX_s5_regOut[1](3), SBOX_s5_regOut[9](3), SBOX_s5_regOut[4](3), SBOX_s5_regOut[5](3), SBOX_s5_regOut[12](3), SBOX_s5_regOut[13](3), SBOX_s5_regOut[1](2), SBOX_s5_regOut[9](2), SBOX_s5_regOut[4](2), SBOX_s5_regOut[5](2), SBOX_s5_regOut[12](2), SBOX_s5_regOut[13](2)] -log10(p) = 1.64733 --> OKAY
Cycle 4: @[SBOX_s4_refreshed[4](4)] ==> [SBOX_stage3Out[6](4), SBOX_stage3Out[7](4), randomS4[4](4), SBOX_s3_regOut_1__4__1_(4), SBOX_s3_regOut_1__4__0_(4), SBOX_s3_regOut_1__3__1_(4), SBOX_s3_regOut_1__3__0_(4), SBOX_stage3Out[6](3), SBOX_stage3Out[7](3), randomS4[4](3), SBOX_s3_regOut_1__4__1_(3), SBOX_s3_regOut_1__4__0_(3), SBOX_s3_regOut_1__3__1_(3), SBOX_s3_regOut_1__3__0_(3)] -log10(p) = 2.07176 --> OKAY
Cycle 5: @[randomS4[14](5)] ==> [randomS4[14](5), randomS4[14](4)] -log10(p) = 1.22737 --> OKAY
Cycle 6: @[SBOX_s4_refreshed[3](6)] ==> [SBOX_stage3Out[4](6), SBOX_stage3Out[5](6), SBOX_s3_regOut_0__4__1_(6), SBOX_s3_regOut_0__4__0_(6), SBOX_s3_regOut_0__3__1_(6), SBOX_s3_regOut_0__3__0_(6), randomS4[3](6), SBOX_stage3Out[4](5), SBOX_stage3Out[5](5), SBOX_s3_regOut_0__4__1_(5), SBOX_s3_regOut_0__4__0_(5), SBOX_s3_regOut_0__3__1_(5), SBOX_s3_regOut_0__3__0_(5), randomS4[3](5)] -log10(p) = 1.77933 --> OKAY
Cycle 7: @[SBOX_s4_refreshed[9](7)] ==> [SBOX_s3_regOut_0__4__1_(7), SBOX_s3_regOut_0__4__0_(7), SBOX_s3_regOut_0__3__1_(7), SBOX_s3_regOut_0__3__0_(7), SBOX_stage3Out[18](7), SBOX_stage3Out[19](7), randomS4[9](7), SBOX_s3_regOut_0__4__1_(6), SBOX_s3_regOut_0__4__0_(6), SBOX_s3_regOut_0__3__1_(6), SBOX_s3_regOut_0__3__0_(6), SBOX_stage3Out[18](6), SBOX_stage3Out[19](6), randomS4[9](6)] -log10(p) = 1.77452 --> OKAY
Cycle 8: @[aes_state_regs_1_n19(8)] ==> [aes_state_regs_1_n19(8), aes_state_regs_1_n19(7)] -log10(p) = 1.74532 --> OKAY
Cycle 9: @[SBOX_stage6Out[0](9)] ==> [SBOX_s5_regOut[1](9), SBOX_s5_regOut[9](9), SBOX_s5_regOut[4](9), SBOX_s5_regOut[6](9), SBOX_s5_regOut[12](9), SBOX_s5_regOut[14](9), SBOX_s5_regOut[1](8), SBOX_s5_regOut[9](8), SBOX_s5_regOut[4](8), SBOX_s5_regOut[6](8), SBOX_s5_regOut[12](8), SBOX_s5_regOut[14](8)] -log10(p) = 1.8812 --> OKAY
Cycle 10: @[aes_state_regs_1_S03xDN[4](10)] ==> [aes_state_regs_1_S03xDN[4](10), aes_state_regs_1_S03xDN[4](9)] -log10(p) = 1.74532 --> OKAY
Cycle 11: @[SBOX_stage2Out[23](11)] ==> [SBOX_stage2Out[23](11), SBOX_stage2Out[23](10)] -log10(p) = 1.89829 --> OKAY
Cycle 12: @[aes_state_regs_1_S10xDN[0](12)] ==> [aes_state_regs_1_n54(12), aes_state_regs_1_n105(12), aes_state_regs_1_S20xDP_7_(12), aes_state_regs_1_S30xDP_7_(12), aes_state_regs_1_S00xDP[0](12), aes_state_regs_1_S10xDP_0_(12), aes_state_regs_1_S30xDP_0_(12), aes_ctrl_lsfr_23_cycles_1_n9(12), aes_ctrl_lsfr_23_cycles_1_n7(12), rcon_1_n30(12), rcon_1_n31(12), aes_ctrl_lsfr_23_cycles_1_n4(12), aes_ctrl_lsfr_23_cycles_1_n12(12), aes_ctrl_lsfr_23_cycles_1_n5(12), aes_ctrl_lsfr_23_cycles_1_n10(12), aes_state_regs_1_n54(11), aes_state_regs_1_n105(11), aes_state_regs_1_S20xDP_7_(11), aes_state_regs_1_S30xDP_7_(11), aes_state_regs_1_S00xDP[0](11), aes_state_regs_1_S10xDP_0_(11), aes_state_regs_1_S30xDP_0_(11), aes_ctrl_lsfr_23_cycles_1_n9(11), aes_ctrl_lsfr_23_cycles_1_n7(11), rcon_1_n30(11), rcon_1_n31(11), aes_ctrl_lsfr_23_cycles_1_n4(11), aes_ctrl_lsfr_23_cycles_1_n12(11), aes_ctrl_lsfr_23_cycles_1_n5(11), aes_ctrl_lsfr_23_cycles_1_n10(11)] -log10(p) = 2.53461 --> OKAY
Cycle 13: @[SBOX_stage6Out[1](13)] ==> [SBOX_s5_regOut[1](13), SBOX_s5_regOut[9](13), SBOX_s5_regOut[4](13), SBOX_s5_regOut[5](13), SBOX_s5_regOut[12](13), SBOX_s5_regOut[13](13), SBOX_s5_regOut[1](12), SBOX_s5_regOut[9](12), SBOX_s5_regOut[4](12), SBOX_s5_regOut[5](12), SBOX_s5_regOut[12](12), SBOX_s5_regOut[13](12)] -log10(p) = 2.35893 --> OKAY
Cycle 14: @[aes_state_regs_0_n140(14)] ==> [aes_state_regs_0_n140(14), aes_state_regs_0_n140(13)] -log10(p) = 2.28657 --> OKAY
