Report file after 92000000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 2: @[aes_sbox_mult_msb_FFxDN[8](2)] ==> [Zmul2xDI[0](2), aes_sbox_Y0_4xDP[0](2), aes_sbox_Y0_4xDP[1](2), aes_sbox_Y0_4xDP[2](2), aes_sbox_Y0_4xDP[3](2), aes_sbox_inverter_gf24_b_mul_e_n13(2), aes_sbox_inverter_gf24_b_mul_e_n14(2), aes_sbox_inverter_gf24_b_mul_e_n15(2), aes_sbox_inverter_gf24_b_mul_e_n16(2), aes_sbox_inverter_gf24_a_mul_e_n13(2), aes_sbox_inverter_gf24_a_mul_e_n14(2), aes_sbox_inverter_gf24_a_mul_e_n15(2), aes_sbox_inverter_gf24_a_mul_e_n16(2), Zmul2xDI[0](1), aes_sbox_Y0_4xDP[0](1), aes_sbox_Y0_4xDP[1](1), aes_sbox_Y0_4xDP[2](1), aes_sbox_Y0_4xDP[3](1), aes_sbox_inverter_gf24_b_mul_e_n13(1), aes_sbox_inverter_gf24_b_mul_e_n14(1), aes_sbox_inverter_gf24_b_mul_e_n15(1), aes_sbox_inverter_gf24_b_mul_e_n16(1), aes_sbox_inverter_gf24_a_mul_e_n13(1), aes_sbox_inverter_gf24_a_mul_e_n14(1), aes_sbox_inverter_gf24_a_mul_e_n15(1), aes_sbox_inverter_gf24_a_mul_e_n16(1)] -log10(p) = 0.668295 --> OKAY
Cycle 3: @[aes_sbox_mappedxD_0__3_(3)] ==> [aes_state_regs_0_S00xDP[3](3), aes_state_regs_0_S00xDP[6](3), K03xD[4](3), K03xD[7](3), KeyOutxD[4](3), KeyOutxD[7](3), KeyToSboxOutxD[4](3), KeyToSboxOutxD[7](3), aes_state_regs_0_S10xDP_4_(3), aes_state_regs_0_S20xDP_7_(3), aes_state_regs_0_S20xDP_4_(3), aes_state_regs_0_S30xDP_7_(3), aes_state_regs_0_S30xDP_4_(3), aes_state_regs_0_n28(3), aes_state_regs_0_n32(3), KxDI[4](3), KxDI[7](3), PTxDI[4](3), PTxDI[7](3), aes_state_regs_0_S00xDP[0](3), aes_state_regs_0_S00xDP[2](3), aes_state_regs_0_S00xDP[7](3), K03xD[0](3), K03xD[1](3), K03xD[3](3), KeyOutxD[0](3), KeyOutxD[1](3), KeyOutxD[3](3), KeyToSboxOutxD[0](3), KeyToSboxOutxD[1](3), KeyToSboxOutxD[3](3), aes_state_regs_0_S10xDP_7_(3), aes_state_regs_0_S10xDP_6_(3), aes_state_regs_0_S10xDP_3_(3), aes_state_regs_0_S10xDP_2_(3), aes_state_regs_0_S10xDP_1_(3), aes_state_regs_0_S10xDP_0_(3), aes_state_regs_0_S20xDP_3_(3), aes_state_regs_0_S20xDP_1_(3), aes_state_regs_0_S20xDP_0_(3), aes_state_regs_0_S30xDP_3_(3), aes_state_regs_0_S30xDP_1_(3), aes_state_regs_0_S30xDP_0_(3), aes_state_regs_0_n29(3), aes_state_regs_0_n31(3), aes_state_regs_0_n35(3), aes_sbox_mult_lsb_n9(3), aes_sbox_mult_lsb_n10(3), aes_sbox_mult_lsb_n13(3), aes_sbox_mult_lsb_n14(3), aes_sbox_mult_msb_n9(3), aes_sbox_mult_msb_n10(3), aes_sbox_mult_msb_n11(3), aes_sbox_mult_msb_n12(3), aes_sbox_mult_msb_n13(3), aes_sbox_mult_msb_n14(3), aes_sbox_mult_msb_n15(3), aes_sbox_mult_msb_n16(3), KxDI[0](3), KxDI[1](3), KxDI[3](3), PTxDI[0](3), PTxDI[1](3), PTxDI[3](3), rcon_1_n33(3), rcon_1_n32(3), rcon_1_n34(3), rcon_1_n4(3), rcon_1_n17(3), rcon_1_n36(3), aes_ctrl_lsfr_23_cycles_1_n9(3), aes_ctrl_lsfr_23_cycles_1_n8(3), aes_ctrl_lsfr_23_cycles_1_n6(3), aes_ctrl_lsfr_23_cycles_1_n7(3), rcon_1_n30(3), rcon_1_n31(3), aes_ctrl_lsfr_23_cycles_1_n2(3), aes_ctrl_lsfr_23_cycles_1_n4(3), aes_ctrl_lsfr_23_cycles_1_n12(3), aes_ctrl_lsfr_23_cycles_1_n5(3), aes_ctrl_lsfr_23_cycles_1_n10(3), aes_state_regs_0_S00xDP[3](2), aes_state_regs_0_S00xDP[6](2), K03xD[4](2), K03xD[7](2), KeyOutxD[4](2), KeyOutxD[7](2), KeyToSboxOutxD[4](2), KeyToSboxOutxD[7](2), aes_state_regs_0_S10xDP_4_(2), aes_state_regs_0_S20xDP_7_(2), aes_state_regs_0_S20xDP_4_(2), aes_state_regs_0_S30xDP_7_(2), aes_state_regs_0_S30xDP_4_(2), aes_state_regs_0_n28(2), aes_state_regs_0_n32(2), KxDI[4](2), KxDI[7](2), PTxDI[4](2), PTxDI[7](2), aes_state_regs_0_S00xDP[0](2), aes_state_regs_0_S00xDP[2](2), aes_state_regs_0_S00xDP[7](2), K03xD[0](2), K03xD[1](2), K03xD[3](2), KeyOutxD[0](2), KeyOutxD[1](2), KeyOutxD[3](2), KeyToSboxOutxD[0](2), KeyToSboxOutxD[1](2), KeyToSboxOutxD[3](2), aes_state_regs_0_S10xDP_7_(2), aes_state_regs_0_S10xDP_6_(2), aes_state_regs_0_S10xDP_3_(2), aes_state_regs_0_S10xDP_2_(2), aes_state_regs_0_S10xDP_1_(2), aes_state_regs_0_S10xDP_0_(2), aes_state_regs_0_S20xDP_3_(2), aes_state_regs_0_S20xDP_1_(2), aes_state_regs_0_S20xDP_0_(2), aes_state_regs_0_S30xDP_3_(2), aes_state_regs_0_S30xDP_1_(2), aes_state_regs_0_S30xDP_0_(2), aes_state_regs_0_n29(2), aes_state_regs_0_n31(2), aes_state_regs_0_n35(2), aes_sbox_mult_lsb_n9(2), aes_sbox_mult_lsb_n10(2), aes_sbox_mult_lsb_n13(2), aes_sbox_mult_lsb_n14(2), aes_sbox_mult_msb_n9(2), aes_sbox_mult_msb_n10(2), aes_sbox_mult_msb_n11(2), aes_sbox_mult_msb_n12(2), aes_sbox_mult_msb_n13(2), aes_sbox_mult_msb_n14(2), aes_sbox_mult_msb_n15(2), aes_sbox_mult_msb_n16(2), KxDI[0](2), KxDI[1](2), KxDI[3](2), PTxDI[0](2), PTxDI[1](2), PTxDI[3](2), rcon_1_n33(2), rcon_1_n32(2), rcon_1_n34(2), rcon_1_n4(2), rcon_1_n17(2), rcon_1_n36(2), aes_ctrl_lsfr_23_cycles_1_n9(2), aes_ctrl_lsfr_23_cycles_1_n8(2), aes_ctrl_lsfr_23_cycles_1_n6(2), aes_ctrl_lsfr_23_cycles_1_n7(2), rcon_1_n30(2), rcon_1_n31(2), aes_ctrl_lsfr_23_cycles_1_n2(2), aes_ctrl_lsfr_23_cycles_1_n4(2), aes_ctrl_lsfr_23_cycles_1_n12(2), aes_ctrl_lsfr_23_cycles_1_n5(2), aes_ctrl_lsfr_23_cycles_1_n10(2)] -log10(p) = 1.95779 --> OKAY
Cycle 4: @[aes_sbox_mult_lsb_FFxDN[6](4)] ==> [Zmul3xDI[2](4), aes_sbox_Y1_4xDP[4](4), aes_sbox_Y1_4xDP[5](4), aes_sbox_Y1_4xDP[6](4), aes_sbox_Y1_4xDP[7](4), aes_sbox_inverter_gf24_b_mul_e_n9(4), aes_sbox_inverter_gf24_b_mul_e_n10(4), aes_sbox_inverter_gf24_b_mul_e_n11(4), aes_sbox_inverter_gf24_b_mul_e_n12(4), aes_sbox_inverter_gf24_a_mul_e_n9(4), aes_sbox_inverter_gf24_a_mul_e_n10(4), aes_sbox_inverter_gf24_a_mul_e_n11(4), aes_sbox_inverter_gf24_a_mul_e_n12(4), Zmul3xDI[2](3), aes_sbox_Y1_4xDP[4](3), aes_sbox_Y1_4xDP[5](3), aes_sbox_Y1_4xDP[6](3), aes_sbox_Y1_4xDP[7](3), aes_sbox_inverter_gf24_b_mul_e_n9(3), aes_sbox_inverter_gf24_b_mul_e_n10(3), aes_sbox_inverter_gf24_b_mul_e_n11(3), aes_sbox_inverter_gf24_b_mul_e_n12(3), aes_sbox_inverter_gf24_a_mul_e_n9(3), aes_sbox_inverter_gf24_a_mul_e_n10(3), aes_sbox_inverter_gf24_a_mul_e_n11(3), aes_sbox_inverter_gf24_a_mul_e_n12(3)] -log10(p) = 1.84848 --> OKAY
Cycle 5: @[aes_sbox_mul_y0y1_FFxDN[5](5)] ==> [aes_sbox_Y1xD_0__3_(5), aes_sbox_Y1xD_0__2_(5), aes_sbox_Y1xD_0__1_(5), aes_sbox_Y1xD_0__0_(5), Zmul1xDI[1](5), aes_sbox_Y0xD_1__3_(5), aes_sbox_Y0xD_1__2_(5), aes_sbox_Y0xD_1__1_(5), aes_sbox_Y0xD_1__0_(5), aes_sbox_Y1xD_0__3_(4), aes_sbox_Y1xD_0__2_(4), aes_sbox_Y1xD_0__1_(4), aes_sbox_Y1xD_0__0_(4), Zmul1xDI[1](4), aes_sbox_Y0xD_1__3_(4), aes_sbox_Y0xD_1__2_(4), aes_sbox_Y0xD_1__1_(4), aes_sbox_Y0xD_1__0_(4)] -log10(p) = 1.94103 --> OKAY
Cycle 6: @[aes_sbox_mul_y0y1_FFxDN[10](6)] ==> [Zmul1xDI[2](6), aes_sbox_Y0xD_0__3_(6), aes_sbox_Y0xD_0__2_(6), aes_sbox_Y0xD_0__1_(6), aes_sbox_Y0xD_0__0_(6), aes_sbox_Y1xD_1__3_(6), aes_sbox_Y1xD_1__2_(6), aes_sbox_Y1xD_1__1_(6), aes_sbox_Y1xD_1__0_(6), Zmul1xDI[2](5), aes_sbox_Y0xD_0__3_(5), aes_sbox_Y0xD_0__2_(5), aes_sbox_Y0xD_0__1_(5), aes_sbox_Y0xD_0__0_(5), aes_sbox_Y1xD_1__3_(5), aes_sbox_Y1xD_1__2_(5), aes_sbox_Y1xD_1__1_(5), aes_sbox_Y1xD_1__0_(5)] -log10(p) = 1.61368 --> OKAY
Cycle 7: @[aes_sbox_inverter_gf24_a_mul_b_FFxDN[5](7)] ==> [Zinv1xDI[1](7), aes_sbox_InverterInxDP[6](7), aes_sbox_InverterInxDP[7](7), aes_sbox_InverterInxDP[0](7), aes_sbox_InverterInxDP[1](7), Zinv1xDI[1](6), aes_sbox_InverterInxDP[6](6), aes_sbox_InverterInxDP[7](6), aes_sbox_InverterInxDP[0](6), aes_sbox_InverterInxDP[1](6)] -log10(p) = 2.34629 --> OKAY
Cycle 8: @[aes_state_regs_1_S10xDN[0](8)] ==> [aes_state_regs_1_n54(8), aes_state_regs_1_n105(8), aes_state_regs_1_S20xDP_7_(8), aes_state_regs_1_S30xDP_7_(8), aes_state_regs_1_S00xDP[0](8), aes_state_regs_1_S10xDP_0_(8), aes_state_regs_1_S30xDP_0_(8), aes_ctrl_lsfr_23_cycles_1_n9(8), aes_ctrl_lsfr_23_cycles_1_n7(8), rcon_1_n30(8), rcon_1_n31(8), aes_ctrl_lsfr_23_cycles_1_n4(8), aes_ctrl_lsfr_23_cycles_1_n12(8), aes_ctrl_lsfr_23_cycles_1_n5(8), aes_ctrl_lsfr_23_cycles_1_n10(8), aes_state_regs_1_n54(7), aes_state_regs_1_n105(7), aes_state_regs_1_S20xDP_7_(7), aes_state_regs_1_S30xDP_7_(7), aes_state_regs_1_S00xDP[0](7), aes_state_regs_1_S10xDP_0_(7), aes_state_regs_1_S30xDP_0_(7), aes_ctrl_lsfr_23_cycles_1_n9(7), aes_ctrl_lsfr_23_cycles_1_n7(7), rcon_1_n30(7), rcon_1_n31(7), aes_ctrl_lsfr_23_cycles_1_n4(7), aes_ctrl_lsfr_23_cycles_1_n12(7), aes_ctrl_lsfr_23_cycles_1_n5(7), aes_ctrl_lsfr_23_cycles_1_n10(7)] -log10(p) = 2.6803 --> OKAY
Cycle 9: @[aes_state_regs_0_S23xDP_6_(9)] ==> [aes_state_regs_0_S23xDP_6_(9), aes_state_regs_0_S23xDP_6_(8)] -log10(p) = 2.04906 --> OKAY
Cycle 10: @[aes_sbox_mappedxD_1__3_(10)] ==> [aes_state_regs_1_S00xDP[3](10), aes_state_regs_1_S00xDP[6](10), K03xD[12](10), K03xD[15](10), KeyOutxD[12](10), KeyOutxD[15](10), KeyToSboxOutxD[12](10), KeyToSboxOutxD[15](10), aes_state_regs_1_S10xDP_4_(10), aes_state_regs_1_S20xDP_7_(10), aes_state_regs_1_S20xDP_4_(10), aes_state_regs_1_S30xDP_7_(10), aes_state_regs_1_S30xDP_4_(10), aes_state_regs_1_n82(10), aes_state_regs_1_n86(10), KxDI[12](10), KxDI[15](10), PTxDI[12](10), PTxDI[15](10), aes_state_regs_1_S00xDP[0](10), aes_state_regs_1_S00xDP[2](10), aes_state_regs_1_S00xDP[7](10), K03xD[8](10), K03xD[9](10), K03xD[11](10), KeyOutxD[8](10), KeyOutxD[9](10), KeyOutxD[11](10), KeyToSboxOutxD[8](10), KeyToSboxOutxD[9](10), KeyToSboxOutxD[11](10), aes_state_regs_1_S10xDP_7_(10), aes_state_regs_1_S10xDP_6_(10), aes_state_regs_1_S10xDP_3_(10), aes_state_regs_1_S10xDP_2_(10), aes_state_regs_1_S10xDP_1_(10), aes_state_regs_1_S10xDP_0_(10), aes_state_regs_1_S20xDP_3_(10), aes_state_regs_1_S20xDP_1_(10), aes_state_regs_1_S20xDP_0_(10), aes_state_regs_1_S30xDP_3_(10), aes_state_regs_1_S30xDP_1_(10), aes_state_regs_1_S30xDP_0_(10), aes_state_regs_1_n83(10), aes_state_regs_1_n85(10), aes_state_regs_1_n89(10), aes_sbox_mult_lsb_n1(10), aes_sbox_mult_lsb_n2(10), aes_sbox_mult_lsb_n5(10), aes_sbox_mult_lsb_n6(10), aes_sbox_mult_msb_n1(10), aes_sbox_mult_msb_n2(10), aes_sbox_mult_msb_n3(10), aes_sbox_mult_msb_n4(10), aes_sbox_mult_msb_n5(10), aes_sbox_mult_msb_n6(10), aes_sbox_mult_msb_n7(10), aes_sbox_mult_msb_n8(10), KxDI[8](10), KxDI[9](10), KxDI[11](10), PTxDI[8](10), PTxDI[9](10), PTxDI[11](10), rcon_1_n4(10), rcon_1_n36(10), aes_ctrl_lsfr_23_cycles_1_n9(10), aes_ctrl_lsfr_23_cycles_1_n8(10), aes_ctrl_lsfr_23_cycles_1_n6(10), aes_ctrl_lsfr_23_cycles_1_n7(10), rcon_1_n30(10), rcon_1_n31(10), aes_ctrl_lsfr_23_cycles_1_n2(10), aes_ctrl_lsfr_23_cycles_1_n4(10), aes_ctrl_lsfr_23_cycles_1_n12(10), aes_ctrl_lsfr_23_cycles_1_n5(10), aes_ctrl_lsfr_23_cycles_1_n10(10), aes_state_regs_1_S00xDP[3](9), aes_state_regs_1_S00xDP[6](9), K03xD[12](9), K03xD[15](9), KeyOutxD[12](9), KeyOutxD[15](9), KeyToSboxOutxD[12](9), KeyToSboxOutxD[15](9), aes_state_regs_1_S10xDP_4_(9), aes_state_regs_1_S20xDP_7_(9), aes_state_regs_1_S20xDP_4_(9), aes_state_regs_1_S30xDP_7_(9), aes_state_regs_1_S30xDP_4_(9), aes_state_regs_1_n82(9), aes_state_regs_1_n86(9), KxDI[12](9), KxDI[15](9), PTxDI[12](9), PTxDI[15](9), aes_state_regs_1_S00xDP[0](9), aes_state_regs_1_S00xDP[2](9), aes_state_regs_1_S00xDP[7](9), K03xD[8](9), K03xD[9](9), K03xD[11](9), KeyOutxD[8](9), KeyOutxD[9](9), KeyOutxD[11](9), KeyToSboxOutxD[8](9), KeyToSboxOutxD[9](9), KeyToSboxOutxD[11](9), aes_state_regs_1_S10xDP_7_(9), aes_state_regs_1_S10xDP_6_(9), aes_state_regs_1_S10xDP_3_(9), aes_state_regs_1_S10xDP_2_(9), aes_state_regs_1_S10xDP_1_(9), aes_state_regs_1_S10xDP_0_(9), aes_state_regs_1_S20xDP_3_(9), aes_state_regs_1_S20xDP_1_(9), aes_state_regs_1_S20xDP_0_(9), aes_state_regs_1_S30xDP_3_(9), aes_state_regs_1_S30xDP_1_(9), aes_state_regs_1_S30xDP_0_(9), aes_state_regs_1_n83(9), aes_state_regs_1_n85(9), aes_state_regs_1_n89(9), aes_sbox_mult_lsb_n1(9), aes_sbox_mult_lsb_n2(9), aes_sbox_mult_lsb_n5(9), aes_sbox_mult_lsb_n6(9), aes_sbox_mult_msb_n1(9), aes_sbox_mult_msb_n2(9), aes_sbox_mult_msb_n3(9), aes_sbox_mult_msb_n4(9), aes_sbox_mult_msb_n5(9), aes_sbox_mult_msb_n6(9), aes_sbox_mult_msb_n7(9), aes_sbox_mult_msb_n8(9), KxDI[8](9), KxDI[9](9), KxDI[11](9), PTxDI[8](9), PTxDI[9](9), PTxDI[11](9), rcon_1_n4(9), rcon_1_n36(9), aes_ctrl_lsfr_23_cycles_1_n9(9), aes_ctrl_lsfr_23_cycles_1_n8(9), aes_ctrl_lsfr_23_cycles_1_n6(9), aes_ctrl_lsfr_23_cycles_1_n7(9), rcon_1_n30(9), rcon_1_n31(9), aes_ctrl_lsfr_23_cycles_1_n2(9), aes_ctrl_lsfr_23_cycles_1_n4(9), aes_ctrl_lsfr_23_cycles_1_n12(9), aes_ctrl_lsfr_23_cycles_1_n5(9), aes_ctrl_lsfr_23_cycles_1_n10(9)] -log10(p) = 2.08581 --> OKAY
Cycle 11: @[aes_state_regs_0_n164(11)] ==> [aes_state_regs_0_n164(11), aes_state_regs_0_n164(10)] -log10(p) = 2.04906 --> OKAY
Cycle 12: @[aes_sbox_inverter_gf24_b_mul_e_FFxDN[6](12)] ==> [aes_sbox_inverter_gf24_pipelinedBxDP[2](12), aes_sbox_inverter_gf24_pipelinedBxDP[3](12), aes_sbox_inverter_gf24_ExDP_1__1_(12), aes_sbox_inverter_gf24_ExDP_1__0_(12), aes_sbox_inverter_gf24_pipelinedBxDP[2](11), aes_sbox_inverter_gf24_pipelinedBxDP[3](11), aes_sbox_inverter_gf24_ExDP_1__1_(11), aes_sbox_inverter_gf24_ExDP_1__0_(11)] -log10(p) = 2.72868 --> OKAY
Cycle 13: @[aes_state_regs_1_S23xDP_6_(13)] ==> [aes_state_regs_1_S23xDP_6_(13), aes_state_regs_1_S23xDP_6_(12)] -log10(p) = 2.25295 --> OKAY
Cycle 14: @[aes_state_regs_1_S03xDN[6](14)] ==> [aes_state_regs_1_S03xDN[6](14), aes_state_regs_1_S03xDN[6](13)] -log10(p) = 2.25295 --> OKAY
Cycle 15: @[aes_state_regs_1_n24(15)] ==> [aes_state_regs_1_n24(15), aes_state_regs_1_n24(14)] -log10(p) = 2.47654 --> OKAY
Cycle 16: @[aes_state_regs_1_n37(16)] ==> [aes_state_regs_1_n37(16), aes_state_regs_1_n37(15)] -log10(p) = 2.84634 --> OKAY
Cycle 17: @[aes_state_regs_1_S23xDP_0_(17)] ==> [aes_state_regs_1_S23xDP_0_(17), aes_state_regs_1_S23xDP_0_(16)] -log10(p) = 2.84634 --> OKAY
Cycle 18: @[aes_state_regs_1_S03xDN[0](18)] ==> [aes_state_regs_1_S03xDN[0](18), aes_state_regs_1_S03xDN[0](17)] -log10(p) = 2.84634 --> OKAY
Cycle 19: @[aes_state_regs_1_S20xDN[0](19)] ==> [aes_state_regs_1_n62(19), aes_state_regs_1_n97(19), aes_state_regs_1_S30xDP_7_(19), aes_state_regs_1_S00xDP[0](19), aes_state_regs_1_S00xDP[7](19), aes_state_regs_1_S10xDP_0_(19), aes_state_regs_1_S20xDP_0_(19), aes_ctrl_lsfr_23_cycles_1_n9(19), aes_ctrl_lsfr_23_cycles_1_n7(19), rcon_1_n30(19), rcon_1_n31(19), aes_ctrl_lsfr_23_cycles_1_n4(19), aes_ctrl_lsfr_23_cycles_1_n12(19), aes_ctrl_lsfr_23_cycles_1_n5(19), aes_ctrl_lsfr_23_cycles_1_n10(19), aes_state_regs_1_n62(18), aes_state_regs_1_n97(18), aes_state_regs_1_S30xDP_7_(18), aes_state_regs_1_S00xDP[0](18), aes_state_regs_1_S00xDP[7](18), aes_state_regs_1_S10xDP_0_(18), aes_state_regs_1_S20xDP_0_(18), aes_ctrl_lsfr_23_cycles_1_n9(18), aes_ctrl_lsfr_23_cycles_1_n7(18), rcon_1_n30(18), rcon_1_n31(18), aes_ctrl_lsfr_23_cycles_1_n4(18), aes_ctrl_lsfr_23_cycles_1_n12(18), aes_ctrl_lsfr_23_cycles_1_n5(18), aes_ctrl_lsfr_23_cycles_1_n10(18)] -log10(p) = 3.55972 --> OKAY
Cycle 20: @[aes_state_regs_1_n38(20)] ==> [aes_state_regs_1_n38(20), aes_state_regs_1_n38(19)] -log10(p) = 2.84634 --> OKAY
Cycle 21: @[aes_state_regs_1_S22xDP_0_(21)] ==> [aes_state_regs_1_S22xDP_0_(21), aes_state_regs_1_S22xDP_0_(20)] -log10(p) = 2.84634 --> OKAY
Cycle 22: @[aes_state_regs_1_S02xDN[0](22)] ==> [aes_state_regs_1_S02xDN[0](22), aes_state_regs_1_S02xDN[0](21)] -log10(p) = 2.84634 --> OKAY
Cycle 23: @[aes_sbox_inverter_gf24_a_mul_b_FFxDN[5](23)] ==> [Zinv1xDI[1](23), aes_sbox_InverterInxDP[6](23), aes_sbox_InverterInxDP[7](23), aes_sbox_InverterInxDP[0](23), aes_sbox_InverterInxDP[1](23), Zinv1xDI[1](22), aes_sbox_InverterInxDP[6](22), aes_sbox_InverterInxDP[7](22), aes_sbox_InverterInxDP[0](22), aes_sbox_InverterInxDP[1](22)] -log10(p) = 2.89339 --> OKAY
Cycle 24: @[aes_state_regs_1_S31xDP_0_(24)] ==> [aes_state_regs_1_S31xDP_0_(24), aes_state_regs_1_S31xDP_0_(23)] -log10(p) = 2.84634 --> OKAY
Cycle 25: @[aes_state_regs_1_n36(25)] ==> [aes_state_regs_1_n36(25), aes_state_regs_1_n36(24)] -log10(p) = 2.84634 --> OKAY
Cycle 26: @[aes_state_regs_1_S01xDO_3_(26)] ==> [aes_state_regs_1_S01xDO_3_(26), aes_state_regs_1_S01xDO_3_(25)] -log10(p) = 2.47654 --> OKAY
Cycle 27: @[aes_state_regs_0_S01xDO_3_(27)] ==> [aes_state_regs_0_S01xDO_3_(27), aes_state_regs_0_S01xDO_3_(26)] -log10(p) = 2.47555 --> OKAY
Cycle 28: @[aes_sbox_inverter_gf24_a_mul_b_FFxDN[5](28)] ==> [Zinv1xDI[1](28), aes_sbox_InverterInxDP[6](28), aes_sbox_InverterInxDP[7](28), aes_sbox_InverterInxDP[0](28), aes_sbox_InverterInxDP[1](28), Zinv1xDI[1](27), aes_sbox_InverterInxDP[6](27), aes_sbox_InverterInxDP[7](27), aes_sbox_InverterInxDP[0](27), aes_sbox_InverterInxDP[1](27)] -log10(p) = 3.04566 --> OKAY
Cycle 29: @[aes_sbox_Y0_0xDP[0](29)] ==> [aes_sbox_Y0_0xDP[0](29), aes_sbox_Y0_0xDP[0](28)] -log10(p) = 2.81072 --> OKAY
Cycle 30: @[aes_sbox_Y0_1xDP[0](30)] ==> [aes_sbox_Y0_1xDP[0](30), aes_sbox_Y0_1xDP[0](29)] -log10(p) = 2.81072 --> OKAY
Cycle 31: @[aes_sbox_inverter_gf24_AxDP[0](31)] ==> [aes_sbox_inverter_gf24_AxDP[0](31), aes_sbox_inverter_gf24_AxDP[0](30)] -log10(p) = 3.57387 --> OKAY
