Report file after 640000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 2: @[aes_sbox_mul_y0y1_FFxDN[8](2)] ==> [Zmul1xDI[0](2), aes_sbox_Y0xD_0__3_(2), aes_sbox_Y0xD_0__2_(2), aes_sbox_Y0xD_0__1_(2), aes_sbox_Y0xD_0__0_(2), aes_sbox_Y1xD_1__3_(2), aes_sbox_Y1xD_1__2_(2), aes_sbox_Y1xD_1__1_(2), aes_sbox_Y1xD_1__0_(2), Zmul1xDI[0](1), aes_sbox_Y0xD_0__3_(1), aes_sbox_Y0xD_0__2_(1), aes_sbox_Y0xD_0__1_(1), aes_sbox_Y0xD_0__0_(1), aes_sbox_Y1xD_1__3_(1), aes_sbox_Y1xD_1__2_(1), aes_sbox_Y1xD_1__1_(1), aes_sbox_Y1xD_1__0_(1)] -log10(p) = 2.93682 --> OKAY
Cycle 3: @[aes_sbox_InverterInxD[4](3)] ==> [aes_sbox_mul_y0y1_n7(3), aes_sbox_mul_y0y1_n8(3), aes_sbox_n8(3), aes_sbox_mul_y0y1_n7(2), aes_sbox_mul_y0y1_n8(2), aes_sbox_n8(2)] -log10(p) = 2.56804 --> OKAY
Cycle 4: @[aes_sbox_InverterInxD[4](4)] ==> [aes_sbox_mul_y0y1_n7(4), aes_sbox_mul_y0y1_n8(4), aes_sbox_n8(4), aes_sbox_mul_y0y1_n7(3), aes_sbox_mul_y0y1_n8(3), aes_sbox_n8(3)] -log10(p) = 1.97576 --> OKAY
Cycle 5: @[aes_sbox_n40(5)] ==> [aes_sbox_n17(5), aes_sbox_n18(5), aes_sbox_n21(5), aes_sbox_n22(5), aes_sbox_n5(5), RstxBI(5), aes_sbox_n17(4), aes_sbox_n18(4), aes_sbox_n21(4), aes_sbox_n22(4), aes_sbox_n5(4), RstxBI(4)] -log10(p) = 3.05423 --> OKAY
Cycle 6: @[aes_sbox_inverter_gf24_BxDP[2](6)] ==> [aes_sbox_inverter_gf24_BxDP[2](6), aes_sbox_inverter_gf24_BxDP[2](5)] -log10(p) = 1.97576 --> OKAY
Cycle 7: @[aes_state_regs_1_S20xDN[6](7)] ==> [aes_state_regs_1_n8(7), aes_state_regs_1_n91(7), aes_state_regs_1_S30xDP_5_(7), aes_state_regs_1_S00xDP[6](7), aes_state_regs_1_S00xDP[5](7), aes_state_regs_1_S10xDP_6_(7), aes_state_regs_1_S20xDP_6_(7), aes_ctrl_lsfr_23_cycles_1_n9(7), aes_ctrl_lsfr_23_cycles_1_n7(7), rcon_1_n30(7), rcon_1_n31(7), aes_ctrl_lsfr_23_cycles_1_n4(7), aes_ctrl_lsfr_23_cycles_1_n12(7), aes_ctrl_lsfr_23_cycles_1_n5(7), aes_ctrl_lsfr_23_cycles_1_n10(7), aes_state_regs_1_n8(6), aes_state_regs_1_n91(6), aes_state_regs_1_S30xDP_5_(6), aes_state_regs_1_S00xDP[6](6), aes_state_regs_1_S00xDP[5](6), aes_state_regs_1_S10xDP_6_(6), aes_state_regs_1_S20xDP_6_(6), aes_ctrl_lsfr_23_cycles_1_n9(6), aes_ctrl_lsfr_23_cycles_1_n7(6), rcon_1_n30(6), rcon_1_n31(6), aes_ctrl_lsfr_23_cycles_1_n4(6), aes_ctrl_lsfr_23_cycles_1_n12(6), aes_ctrl_lsfr_23_cycles_1_n5(6), aes_ctrl_lsfr_23_cycles_1_n10(6)] -log10(p) = 2.1312 --> OKAY
Cycle 8: @[aes_sbox_inverter_gf24_b_mul_e_FFxDN[0](8)] ==> [aes_sbox_inverter_gf24_pipelinedBxDP[0](8), aes_sbox_inverter_gf24_pipelinedBxDP[1](8), aes_sbox_inverter_gf24_ExDP_0__1_(8), aes_sbox_inverter_gf24_ExDP_0__0_(8), aes_sbox_inverter_gf24_pipelinedBxDP[0](7), aes_sbox_inverter_gf24_pipelinedBxDP[1](7), aes_sbox_inverter_gf24_ExDP_0__1_(7), aes_sbox_inverter_gf24_ExDP_0__0_(7)] -log10(p) = 1.87434 --> OKAY
Cycle 9: @[aes_sbox_Y0_0xDP[1](9)] ==> [aes_sbox_Y0_0xDP[1](9), aes_sbox_Y0_0xDP[1](8)] -log10(p) = 1.98744 --> OKAY
Cycle 10: @[aes_sbox_Y1_0xDP[7](10)] ==> [aes_sbox_Y1_0xDP[7](10), aes_sbox_Y1_0xDP[7](9)] -log10(p) = 2.08717 --> OKAY
Cycle 11: @[aes_sbox_Y1_0xDP[7](11)] ==> [aes_sbox_Y1_0xDP[7](11), aes_sbox_Y1_0xDP[7](10)] -log10(p) = 2.34028 --> OKAY
Cycle 12: @[aes_sbox_Y1_1xDP[7](12)] ==> [aes_sbox_Y1_1xDP[7](12), aes_sbox_Y1_1xDP[7](11)] -log10(p) = 2.34028 --> OKAY
Cycle 13: @[aes_state_regs_1_n14(13)] ==> [aes_state_regs_1_n14(13), aes_state_regs_1_n14(12)] -log10(p) = 2.70152 --> OKAY
Cycle 14: @[aes_sbox_inverter_gf24_b_mul_e_FFxDN[4](14)] ==> [Zinv3xDI[0](14), aes_sbox_inverter_gf24_pipelinedBxDP[2](14), aes_sbox_inverter_gf24_pipelinedBxDP[3](14), aes_sbox_inverter_gf24_ExDP_0__1_(14), aes_sbox_inverter_gf24_ExDP_0__0_(14), Zinv3xDI[0](13), aes_sbox_inverter_gf24_pipelinedBxDP[2](13), aes_sbox_inverter_gf24_pipelinedBxDP[3](13), aes_sbox_inverter_gf24_ExDP_0__1_(13), aes_sbox_inverter_gf24_ExDP_0__0_(13)] -log10(p) = 3.36081 --> OKAY
Cycle 15: @[aes_state_regs_1_S03xDN[5](15)] ==> [aes_state_regs_1_S03xDN[5](15), aes_state_regs_1_S03xDN[5](14)] -log10(p) = 2.70152 --> OKAY
Cycle 16: @[aes_state_regs_0_n140(16)] ==> [aes_state_regs_0_n140(16), aes_state_regs_0_n140(15)] -log10(p) = 3.47321 --> OKAY
Cycle 17: @[aes_state_regs_0_S23xDP_1_(17)] ==> [aes_state_regs_0_S23xDP_1_(17), aes_state_regs_0_S23xDP_1_(16)] -log10(p) = 3.47321 --> OKAY
Cycle 18: @[aes_state_regs_0_S03xDN[1](18)] ==> [aes_state_regs_0_S03xDN[1](18), aes_state_regs_0_S03xDN[1](17)] -log10(p) = 3.47321 --> OKAY
Cycle 19: @[aes_state_regs_0_n139(19)] ==> [aes_state_regs_0_n139(19), aes_state_regs_0_n139(18)] -log10(p) = 3.47321 --> OKAY
Cycle 20: @[aes_state_regs_1_S02xDP_5_(20)] ==> [aes_state_regs_1_S02xDP_5_(20), aes_state_regs_1_S02xDP_5_(19)] -log10(p) = 2.70152 --> OKAY
Cycle 21: @[aes_state_regs_0_n142(21)] ==> [aes_state_regs_0_n142(21), aes_state_regs_0_n142(20)] -log10(p) = 3.47321 --> OKAY
Cycle 22: @[aes_state_regs_0_S02xDN[1](22)] ==> [aes_state_regs_0_S02xDN[1](22), aes_state_regs_0_S02xDN[1](21)] -log10(p) = 3.47321 --> OKAY
Cycle 23: @[aes_state_regs_0_S02xDP_1_(23)] ==> [aes_state_regs_0_S02xDP_1_(23), aes_state_regs_0_S02xDP_1_(22)] -log10(p) = 3.47321 --> OKAY
Cycle 24: @[aes_state_regs_0_n143(24)] ==> [aes_state_regs_0_n143(24), aes_state_regs_0_n143(23)] -log10(p) = 3.47321 --> OKAY
Cycle 25: @[aes_state_regs_0_S21xDP[1](25)] ==> [aes_state_regs_0_S21xDP[1](25), aes_state_regs_0_S21xDP[1](24)] -log10(p) = 3.47321 --> OKAY
Cycle 26: @[aes_state_regs_0_S01xDN[1](26)] ==> [aes_state_regs_0_S01xDN[1](26), aes_state_regs_0_S01xDN[1](25)] -log10(p) = 2.18182 --> OKAY
Cycle 27: @[aes_state_regs_0_S01xDO_1_(27)] ==> [aes_state_regs_0_S01xDO_1_(27), aes_state_regs_0_S01xDO_1_(26)] -log10(p) = 2.18182 --> OKAY
Cycle 28: @[aes_sbox_Y0_0xDP[7](28)] ==> [aes_sbox_Y0_0xDP[7](28), aes_sbox_Y0_0xDP[7](27)] -log10(p) = 2.13142 --> OKAY
Cycle 29: @[aes_sbox_Y0_1xDP[7](29)] ==> [aes_sbox_Y0_1xDP[7](29), aes_sbox_Y0_1xDP[7](28)] -log10(p) = 2.13142 --> OKAY
Cycle 30: @[aes_state_regs_1_S10xDN[3](30)] ==> [aes_state_regs_1_n51(30), aes_state_regs_1_n102(30), aes_state_regs_1_S00xDP[3](30), aes_state_regs_1_S20xDP_7_(30), aes_state_regs_1_S30xDP_7_(30), aes_state_regs_1_S10xDP_3_(30), aes_state_regs_1_S20xDP_2_(30), aes_state_regs_1_S30xDP_3_(30), aes_state_regs_1_S30xDP_2_(30), aes_ctrl_lsfr_23_cycles_1_n9(30), aes_ctrl_lsfr_23_cycles_1_n7(30), rcon_1_n30(30), rcon_1_n31(30), aes_ctrl_lsfr_23_cycles_1_n4(30), aes_ctrl_lsfr_23_cycles_1_n12(30), aes_ctrl_lsfr_23_cycles_1_n5(30), aes_ctrl_lsfr_23_cycles_1_n10(30), aes_state_regs_1_n51(29), aes_state_regs_1_n102(29), aes_state_regs_1_S00xDP[3](29), aes_state_regs_1_S20xDP_7_(29), aes_state_regs_1_S30xDP_7_(29), aes_state_regs_1_S10xDP_3_(29), aes_state_regs_1_S20xDP_2_(29), aes_state_regs_1_S30xDP_3_(29), aes_state_regs_1_S30xDP_2_(29), aes_ctrl_lsfr_23_cycles_1_n9(29), aes_ctrl_lsfr_23_cycles_1_n7(29), rcon_1_n30(29), rcon_1_n31(29), aes_ctrl_lsfr_23_cycles_1_n4(29), aes_ctrl_lsfr_23_cycles_1_n12(29), aes_ctrl_lsfr_23_cycles_1_n5(29), aes_ctrl_lsfr_23_cycles_1_n10(29)] -log10(p) = 2.72644 --> OKAY
