Report file after 1408000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 27: @[aes_state_regs_1_S02xDN[4](27)] ==> [aes_state_regs_1_S02xDN[4](27), aes_state_regs_1_S02xDN[4](26)] -log10(p) = 2.16495 --> OKAY
Cycle 28: @[aes_state_regs_0_S20xDN[1](28)] ==> [aes_state_regs_0_n141(28), aes_state_regs_0_n42(28), aes_state_regs_0_S00xDP[0](28), aes_state_regs_0_S00xDP[1](28), aes_state_regs_0_S00xDP[7](28), aes_state_regs_0_S10xDP_1_(28), aes_state_regs_0_S20xDP_1_(28), aes_state_regs_0_S30xDP_7_(28), aes_state_regs_0_S30xDP_0_(28), aes_ctrl_lsfr_23_cycles_1_n9(28), aes_ctrl_lsfr_23_cycles_1_n7(28), rcon_1_n28(28), rcon_1_n31(28), aes_ctrl_lsfr_23_cycles_1_n4(28), aes_ctrl_lsfr_23_cycles_1_n12(28), aes_ctrl_lsfr_23_cycles_1_n5(28), aes_ctrl_lsfr_23_cycles_1_n10(28), aes_state_regs_0_n141(27), aes_state_regs_0_n42(27), aes_state_regs_0_S00xDP[0](27), aes_state_regs_0_S00xDP[1](27), aes_state_regs_0_S00xDP[7](27), aes_state_regs_0_S10xDP_1_(27), aes_state_regs_0_S20xDP_1_(27), aes_state_regs_0_S30xDP_7_(27), aes_state_regs_0_S30xDP_0_(27), aes_ctrl_lsfr_23_cycles_1_n9(27), aes_ctrl_lsfr_23_cycles_1_n7(27), rcon_1_n28(27), rcon_1_n31(27), aes_ctrl_lsfr_23_cycles_1_n4(27), aes_ctrl_lsfr_23_cycles_1_n12(27), aes_ctrl_lsfr_23_cycles_1_n5(27), aes_ctrl_lsfr_23_cycles_1_n10(27)] -log10(p) = 4.65487 --> OKAY
Cycle 29: @[aes_state_regs_2_S02xDP_7_(29)] ==> [aes_state_regs_2_S02xDP_7_(29), aes_state_regs_2_S02xDP_7_(28)] -log10(p) = 3.83047 --> OKAY
Cycle 30: @[aes_state_regs_2_n1(30)] ==> [aes_state_regs_2_n1(30), aes_state_regs_2_n1(29)] -log10(p) = 3.83047 --> OKAY
Cycle 31: @[aes_state_regs_2_S21xDP[7](31)] ==> [aes_state_regs_2_S21xDP[7](31), aes_state_regs_2_S21xDP[7](30)] -log10(p) = 3.83047 --> OKAY
Cycle 32: @[aes_state_regs_2_S01xDN[7](32)] ==> [aes_state_regs_2_S01xDN[7](32), aes_state_regs_2_S01xDN[7](31)] -log10(p) = 3.83047 --> OKAY
Cycle 33: @[aes_state_regs_1_S20xDN[3](33)] ==> [aes_state_regs_1_n151(33), aes_state_regs_1_n40(33), aes_state_regs_1_S00xDP[2](33), aes_state_regs_1_S20xDP_3_(33), aes_state_regs_1_S00xDP[3](33), aes_state_regs_1_S10xDP_3_(33), aes_state_regs_1_S00xDP[7](33), aes_state_regs_1_S30xDP_7_(33), aes_state_regs_1_S30xDP_2_(33), aes_ctrl_lsfr_23_cycles_1_n9(33), aes_ctrl_lsfr_23_cycles_1_n7(33), rcon_1_n28(33), rcon_1_n31(33), aes_ctrl_lsfr_23_cycles_1_n4(33), aes_ctrl_lsfr_23_cycles_1_n12(33), aes_ctrl_lsfr_23_cycles_1_n5(33), aes_ctrl_lsfr_23_cycles_1_n10(33), aes_state_regs_1_n151(32), aes_state_regs_1_n40(32), aes_state_regs_1_S00xDP[2](32), aes_state_regs_1_S20xDP_3_(32), aes_state_regs_1_S00xDP[3](32), aes_state_regs_1_S10xDP_3_(32), aes_state_regs_1_S00xDP[7](32), aes_state_regs_1_S30xDP_7_(32), aes_state_regs_1_S30xDP_2_(32), aes_ctrl_lsfr_23_cycles_1_n9(32), aes_ctrl_lsfr_23_cycles_1_n7(32), rcon_1_n28(32), rcon_1_n31(32), aes_ctrl_lsfr_23_cycles_1_n4(32), aes_ctrl_lsfr_23_cycles_1_n12(32), aes_ctrl_lsfr_23_cycles_1_n5(32), aes_ctrl_lsfr_23_cycles_1_n10(32)] -log10(p) = 3.87243 --> OKAY
Cycle 34: @[aes_state_regs_1_S20xDN[4](34)] ==> [aes_state_regs_1_n156(34), aes_state_regs_1_n39(34), aes_state_regs_1_S30xDP_3_(34), aes_state_regs_1_S00xDP[3](34), aes_state_regs_1_S20xDP_4_(34), aes_state_regs_1_S00xDP[4](34), aes_state_regs_1_S00xDP[7](34), aes_state_regs_1_S10xDP_4_(34), aes_state_regs_1_S30xDP_7_(34), aes_ctrl_lsfr_23_cycles_1_n9(34), aes_ctrl_lsfr_23_cycles_1_n7(34), rcon_1_n28(34), rcon_1_n31(34), aes_ctrl_lsfr_23_cycles_1_n4(34), aes_ctrl_lsfr_23_cycles_1_n12(34), aes_ctrl_lsfr_23_cycles_1_n5(34), aes_ctrl_lsfr_23_cycles_1_n10(34), aes_state_regs_1_n156(33), aes_state_regs_1_n39(33), aes_state_regs_1_S30xDP_3_(33), aes_state_regs_1_S00xDP[3](33), aes_state_regs_1_S20xDP_4_(33), aes_state_regs_1_S00xDP[4](33), aes_state_regs_1_S00xDP[7](33), aes_state_regs_1_S10xDP_4_(33), aes_state_regs_1_S30xDP_7_(33), aes_ctrl_lsfr_23_cycles_1_n9(33), aes_ctrl_lsfr_23_cycles_1_n7(33), rcon_1_n28(33), rcon_1_n31(33), aes_ctrl_lsfr_23_cycles_1_n4(33), aes_ctrl_lsfr_23_cycles_1_n12(33), aes_ctrl_lsfr_23_cycles_1_n5(33), aes_ctrl_lsfr_23_cycles_1_n10(33)] -log10(p) = 3.47827 --> OKAY
Cycle 35: @[SBOX_PL_6_n96(35)] ==> [SBOX_Qreg5[0](35), SBOX_PL_6_n120(35), 1'b1(35), SBOX_Qreg5[0](34), SBOX_PL_6_n120(34), 1'b1(34)] -log10(p) = 2.63686 --> OKAY
Cycle 36: @[SBOX_PL_6_n96(36)] ==> [SBOX_Qreg5[0](36), SBOX_PL_6_n120(36), 1'b1(36), SBOX_Qreg5[0](35), SBOX_PL_6_n120(35), 1'b1(35)] -log10(p) = 2.94715 --> OKAY
Cycle 37: @[aes_state_regs_0_S20xDN[3](37)] ==> [aes_state_regs_0_n151(37), aes_state_regs_0_n40(37), aes_state_regs_0_S00xDP[2](37), aes_state_regs_0_S20xDP_3_(37), aes_state_regs_0_S00xDP[3](37), aes_state_regs_0_S10xDP_3_(37), aes_state_regs_0_S00xDP[7](37), aes_state_regs_0_S30xDP_7_(37), aes_state_regs_0_S30xDP_2_(37), aes_ctrl_lsfr_23_cycles_1_n9(37), aes_ctrl_lsfr_23_cycles_1_n7(37), rcon_1_n28(37), rcon_1_n31(37), aes_ctrl_lsfr_23_cycles_1_n4(37), aes_ctrl_lsfr_23_cycles_1_n12(37), aes_ctrl_lsfr_23_cycles_1_n5(37), aes_ctrl_lsfr_23_cycles_1_n10(37), aes_state_regs_0_n151(36), aes_state_regs_0_n40(36), aes_state_regs_0_S00xDP[2](36), aes_state_regs_0_S20xDP_3_(36), aes_state_regs_0_S00xDP[3](36), aes_state_regs_0_S10xDP_3_(36), aes_state_regs_0_S00xDP[7](36), aes_state_regs_0_S30xDP_7_(36), aes_state_regs_0_S30xDP_2_(36), aes_ctrl_lsfr_23_cycles_1_n9(36), aes_ctrl_lsfr_23_cycles_1_n7(36), rcon_1_n28(36), rcon_1_n31(36), aes_ctrl_lsfr_23_cycles_1_n4(36), aes_ctrl_lsfr_23_cycles_1_n12(36), aes_ctrl_lsfr_23_cycles_1_n5(36), aes_ctrl_lsfr_23_cycles_1_n10(36)] -log10(p) = 3.56021 --> OKAY
Cycle 38: @[aes_state_regs_0_n137(38)] ==> [aes_state_regs_0_n137(38), aes_state_regs_0_n137(37)] -log10(p) = 3.5336 --> OKAY
Cycle 39: @[aes_state_regs_0_S23xDP_0_(39)] ==> [aes_state_regs_0_S23xDP_0_(39), aes_state_regs_0_S23xDP_0_(38)] -log10(p) = 3.5336 --> OKAY
Cycle 40: @[aes_state_regs_0_S03xDN[0](40)] ==> [aes_state_regs_0_S03xDN[0](40), aes_state_regs_0_S03xDN[0](39)] -log10(p) = 3.5336 --> OKAY
Cycle 41: @[aes_state_regs_0_S03xDP_0_(41)] ==> [aes_state_regs_0_S03xDP_0_(41), aes_state_regs_0_S03xDP_0_(40)] -log10(p) = 3.5336 --> OKAY
