Report file after 640000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 2: @[ph_H[2](2)] ==> [FF3_out[10](2), FF3_out[11](2), FF3_out[22](2), FF3_out[23](2), PRNGQ[30](2), FF3_out[2](2), FF3_out[3](2), FF3_out[14](2), FF3_out[15](2), FF3_out[10](1), FF3_out[11](1), FF3_out[22](1), FF3_out[23](1), PRNGQ[30](1), FF3_out[2](1), FF3_out[3](1), FF3_out[14](1), FF3_out[15](1)] -log10(p) = 1.63181 --> OKAY
Cycle 3: @[Q[0](3)] ==> [FF4_out[1](3), FF4_out[18](3), FF4_out[25](3), FF4_out[30](3), Inst_f5_plwillwin_pw2_1_(3), Inst_f5_phwillwin_pw2_1_(3), FF4_out[1](2), FF4_out[18](2), FF4_out[25](2), FF4_out[30](2), Inst_f5_plwillwin_pw2_1_(2), Inst_f5_phwillwin_pw2_1_(2)] -log10(p) = 3.30373 --> OKAY
Cycle 4: @[Zh_f3[11](4)] ==> [Zh_f3[11](4), Zh_f3[11](3)] -log10(p) = 1.48255 --> OKAY
Cycle 5: @[pl_L[0](5)] ==> [PRNGQ[48](5), FF3_out[32](5), FF3_out[33](5), FF3_out[28](5), FF3_out[29](5), FF3_out[8](5), FF3_out[9](5), FF3_out[4](5), FF3_out[5](5), PRNGQ[48](4), FF3_out[32](4), FF3_out[33](4), FF3_out[28](4), FF3_out[29](4), FF3_out[8](4), FF3_out[9](4), FF3_out[4](4), FF3_out[5](4)] -log10(p) = 2.30153 --> OKAY
Cycle 6: @[ph_H[0](6)] ==> [FF3_out[10](6), FF3_out[11](6), FF3_out[22](6), FF3_out[23](6), PRNGQ[28](6), FF3_out[6](6), FF3_out[7](6), FF3_out[18](6), FF3_out[19](6), FF3_out[10](5), FF3_out[11](5), FF3_out[22](5), FF3_out[23](5), PRNGQ[28](5), FF3_out[6](5), FF3_out[7](5), FF3_out[18](5), FF3_out[19](5)] -log10(p) = 4.25349 --> OKAY
Cycle 7: @[ph_H[2](7)] ==> [FF3_out[10](7), FF3_out[11](7), FF3_out[22](7), FF3_out[23](7), PRNGQ[30](7), FF3_out[2](7), FF3_out[3](7), FF3_out[14](7), FF3_out[15](7), FF3_out[10](6), FF3_out[11](6), FF3_out[22](6), FF3_out[23](6), PRNGQ[30](6), FF3_out[2](6), FF3_out[3](6), FF3_out[14](6), FF3_out[15](6)] -log10(p) = 1.97652 --> OKAY
Cycle 8: @[ph_L[1](8)] ==> [FF3_out[34](8), FF3_out[35](8), FF3_out[30](8), FF3_out[31](8), PRNGQ[41](8), FF3_out[10](8), FF3_out[11](8), FF3_out[6](8), FF3_out[7](8), FF3_out[34](7), FF3_out[35](7), FF3_out[30](7), FF3_out[31](7), PRNGQ[41](7), FF3_out[10](7), FF3_out[11](7), FF3_out[6](7), FF3_out[7](7)] -log10(p) = 2.24722 --> OKAY
Cycle 9: @[ph_L[1](9)] ==> [FF3_out[34](9), FF3_out[35](9), FF3_out[30](9), FF3_out[31](9), PRNGQ[41](9), FF3_out[10](9), FF3_out[11](9), FF3_out[6](9), FF3_out[7](9), FF3_out[34](8), FF3_out[35](8), FF3_out[30](8), FF3_out[31](8), PRNGQ[41](8), FF3_out[10](8), FF3_out[11](8), FF3_out[6](8), FF3_out[7](8)] -log10(p) = 1.98585 --> OKAY
Cycle 10: @[pl_L[1](10)] ==> [PRNGQ[49](10), FF3_out[32](10), FF3_out[33](10), FF3_out[28](10), FF3_out[29](10), FF3_out[8](10), FF3_out[9](10), FF3_out[4](10), FF3_out[5](10), PRNGQ[49](9), FF3_out[32](9), FF3_out[33](9), FF3_out[28](9), FF3_out[29](9), FF3_out[8](9), FF3_out[9](9), FF3_out[4](9), FF3_out[5](9)] -log10(p) = 3.3491 --> OKAY

2.) Summary of the most leakging (and already active) probing sets: 

@[ph_H[0](6)] ==> [FF3_out[10](6), FF3_out[11](6), FF3_out[22](6), FF3_out[23](6), PRNGQ[28](6), FF3_out[6](6), FF3_out[7](6), FF3_out[18](6), FF3_out[19](6), FF3_out[10](5), FF3_out[11](5), FF3_out[22](5), FF3_out[23](5), PRNGQ[28](5), FF3_out[6](5), FF3_out[7](5), FF3_out[18](5), FF3_out[19](5)] -log10(p) = 4.25349 --> OKAY
@[pl_L[1](10)] ==> [PRNGQ[49](10), FF3_out[32](10), FF3_out[33](10), FF3_out[28](10), FF3_out[29](10), FF3_out[8](10), FF3_out[9](10), FF3_out[4](10), FF3_out[5](10), PRNGQ[49](9), FF3_out[32](9), FF3_out[33](9), FF3_out[28](9), FF3_out[29](9), FF3_out[8](9), FF3_out[9](9), FF3_out[4](9), FF3_out[5](9)] -log10(p) = 3.3491 --> OKAY
@[Q[0](3)] ==> [FF4_out[1](3), FF4_out[18](3), FF4_out[25](3), FF4_out[30](3), Inst_f5_plwillwin_pw2_1_(3), Inst_f5_phwillwin_pw2_1_(3), FF4_out[1](2), FF4_out[18](2), FF4_out[25](2), FF4_out[30](2), Inst_f5_plwillwin_pw2_1_(2), Inst_f5_phwillwin_pw2_1_(2)] -log10(p) = 3.30373 --> OKAY
@[ph_L[1](6)] ==> [FF3_out[34](6), FF3_out[35](6), FF3_out[30](6), FF3_out[31](6), PRNGQ[41](6), FF3_out[10](6), FF3_out[11](6), FF3_out[6](6), FF3_out[7](6), FF3_out[34](5), FF3_out[35](5), FF3_out[30](5), FF3_out[31](5), PRNGQ[41](5), FF3_out[10](5), FF3_out[11](5), FF3_out[6](5), FF3_out[7](5)] -log10(p) = 2.8755 --> OKAY
@[ph_L[3](6)] ==> [FF3_out[34](6), FF3_out[35](6), FF3_out[26](6), FF3_out[27](6), PRNGQ[43](6), FF3_out[10](6), FF3_out[11](6), FF3_out[2](6), FF3_out[3](6), FF3_out[34](5), FF3_out[35](5), FF3_out[26](5), FF3_out[27](5), PRNGQ[43](5), FF3_out[10](5), FF3_out[11](5), FF3_out[2](5), FF3_out[3](5)] -log10(p) = 2.86879 --> OKAY
