Report file after 128000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 2: @[randomS5[30](2)] ==> [randomS5[30](2), randomS5[30](1)] -log10(p) = 1.62579 --> OKAY
Cycle 3: @[SBOX_s4_refreshed[8](3)] ==> [SBOX_s3_regOut_0__4__1_(3), SBOX_s3_regOut_0__4__0_(3), SBOX_s3_regOut_0__3__1_(3), SBOX_s3_regOut_0__3__0_(3), randomS4[8](3), SBOX_stage3Out[18](3), SBOX_stage3Out[19](3), SBOX_s3_regOut_0__4__1_(2), SBOX_s3_regOut_0__4__0_(2), SBOX_s3_regOut_0__3__1_(2), SBOX_s3_regOut_0__3__0_(2), randomS4[8](2), SBOX_stage3Out[18](2), SBOX_stage3Out[19](2)] -log10(p) = 1.52931 --> OKAY
Cycle 4: @[randomS5[31](4)] ==> [randomS5[31](4), randomS5[31](3)] -log10(p) = 1.384 --> OKAY
Cycle 5: @[randomS5[25](5)] ==> [randomS5[25](5), randomS5[25](4)] -log10(p) = 2.18049 --> OKAY
Cycle 6: @[randomS3[7](6)] ==> [randomS3[7](6), randomS3[7](5)] -log10(p) = 1.94127 --> OKAY
Cycle 7: @[aes_state_regs_1_S20xDN[3](7)] ==> [aes_state_regs_1_n59(7), aes_state_regs_1_n94(7), aes_state_regs_1_S00xDP[3](7), aes_state_regs_1_S30xDP_7_(7), aes_state_regs_1_S00xDP[2](7), aes_state_regs_1_S00xDP[7](7), aes_state_regs_1_S10xDP_3_(7), aes_state_regs_1_S20xDP_3_(7), aes_state_regs_1_S30xDP_2_(7), aes_ctrl_lsfr_23_cycles_1_n9(7), aes_ctrl_lsfr_23_cycles_1_n7(7), rcon_1_n30(7), rcon_1_n31(7), aes_ctrl_lsfr_23_cycles_1_n4(7), aes_ctrl_lsfr_23_cycles_1_n12(7), aes_ctrl_lsfr_23_cycles_1_n5(7), aes_ctrl_lsfr_23_cycles_1_n10(7), aes_state_regs_1_n59(6), aes_state_regs_1_n94(6), aes_state_regs_1_S00xDP[3](6), aes_state_regs_1_S30xDP_7_(6), aes_state_regs_1_S00xDP[2](6), aes_state_regs_1_S00xDP[7](6), aes_state_regs_1_S10xDP_3_(6), aes_state_regs_1_S20xDP_3_(6), aes_state_regs_1_S30xDP_2_(6), aes_ctrl_lsfr_23_cycles_1_n9(6), aes_ctrl_lsfr_23_cycles_1_n7(6), rcon_1_n30(6), rcon_1_n31(6), aes_ctrl_lsfr_23_cycles_1_n4(6), aes_ctrl_lsfr_23_cycles_1_n12(6), aes_ctrl_lsfr_23_cycles_1_n5(6), aes_ctrl_lsfr_23_cycles_1_n10(6)] -log10(p) = 1.82645 --> OKAY
Cycle 8: @[SBOX_stage2Out[11](8)] ==> [SBOX_stage2Out[11](8), SBOX_stage2Out[11](7)] -log10(p) = 2.45322 --> OKAY
Cycle 9: @[SBOX_stage3Out[11](9)] ==> [SBOX_stage3Out[11](9), SBOX_stage3Out[11](8)] -log10(p) = 2.45322 --> OKAY
Cycle 10: @[aes_state_regs_0_MixColumnsS1xD[4](10)] ==> [aes_state_regs_0_S00xDP[4](10), aes_state_regs_0_S20xDP_7_(10), aes_state_regs_0_S20xDP_4_(10), aes_state_regs_0_S30xDP_4_(10), aes_state_regs_0_S10xDP_7_(10), aes_state_regs_0_S10xDP_3_(10), aes_state_regs_0_S20xDP_3_(10), aes_state_regs_0_S00xDP[4](9), aes_state_regs_0_S20xDP_7_(9), aes_state_regs_0_S20xDP_4_(9), aes_state_regs_0_S30xDP_4_(9), aes_state_regs_0_S10xDP_7_(9), aes_state_regs_0_S10xDP_3_(9), aes_state_regs_0_S20xDP_3_(9)] -log10(p) = 2.37046 --> OKAY
Cycle 11: @[SBOX_regOut1[14](11)] ==> [SBOX_regOut1[14](11), SBOX_regOut1[14](10)] -log10(p) = 1.88546 --> OKAY
Cycle 12: @[randomS4[15](12)] ==> [randomS4[15](12), randomS4[15](11)] -log10(p) = 1.81884 --> OKAY
Cycle 13: @[aes_state_regs_1_n9(13)] ==> [aes_state_regs_1_n9(13), aes_state_regs_1_n9(12)] -log10(p) = 1.88546 --> OKAY
Cycle 14: @[aes_state_regs_1_S23xDP_6_(14)] ==> [aes_state_regs_1_S23xDP_6_(14), aes_state_regs_1_S23xDP_6_(13)] -log10(p) = 1.88546 --> OKAY
Cycle 15: @[aes_state_regs_1_S10xDN[6](15)] ==> [aes_state_regs_1_n48(15), aes_state_regs_1_n99(15), aes_state_regs_1_S20xDP_5_(15), aes_state_regs_1_S30xDP_5_(15), aes_state_regs_1_S00xDP[6](15), aes_state_regs_1_S10xDP_6_(15), aes_state_regs_1_S30xDP_6_(15), aes_ctrl_lsfr_23_cycles_1_n9(15), aes_ctrl_lsfr_23_cycles_1_n7(15), rcon_1_n30(15), rcon_1_n31(15), aes_ctrl_lsfr_23_cycles_1_n4(15), aes_ctrl_lsfr_23_cycles_1_n12(15), aes_ctrl_lsfr_23_cycles_1_n5(15), aes_ctrl_lsfr_23_cycles_1_n10(15), aes_state_regs_1_n48(14), aes_state_regs_1_n99(14), aes_state_regs_1_S20xDP_5_(14), aes_state_regs_1_S30xDP_5_(14), aes_state_regs_1_S00xDP[6](14), aes_state_regs_1_S10xDP_6_(14), aes_state_regs_1_S30xDP_6_(14), aes_ctrl_lsfr_23_cycles_1_n9(14), aes_ctrl_lsfr_23_cycles_1_n7(14), rcon_1_n30(14), rcon_1_n31(14), aes_ctrl_lsfr_23_cycles_1_n4(14), aes_ctrl_lsfr_23_cycles_1_n12(14), aes_ctrl_lsfr_23_cycles_1_n5(14), aes_ctrl_lsfr_23_cycles_1_n10(14)] -log10(p) = 1.98353 --> OKAY
Cycle 16: @[aes_state_regs_1_S20xDN[6](16)] ==> [aes_state_regs_1_n8(16), aes_state_regs_1_n91(16), aes_state_regs_1_S30xDP_5_(16), aes_state_regs_1_S00xDP[6](16), aes_state_regs_1_S00xDP[5](16), aes_state_regs_1_S10xDP_6_(16), aes_state_regs_1_S20xDP_6_(16), aes_ctrl_lsfr_23_cycles_1_n9(16), aes_ctrl_lsfr_23_cycles_1_n7(16), rcon_1_n30(16), rcon_1_n31(16), aes_ctrl_lsfr_23_cycles_1_n4(16), aes_ctrl_lsfr_23_cycles_1_n12(16), aes_ctrl_lsfr_23_cycles_1_n5(16), aes_ctrl_lsfr_23_cycles_1_n10(16), aes_state_regs_1_n8(15), aes_state_regs_1_n91(15), aes_state_regs_1_S30xDP_5_(15), aes_state_regs_1_S00xDP[6](15), aes_state_regs_1_S00xDP[5](15), aes_state_regs_1_S10xDP_6_(15), aes_state_regs_1_S20xDP_6_(15), aes_ctrl_lsfr_23_cycles_1_n9(15), aes_ctrl_lsfr_23_cycles_1_n7(15), rcon_1_n30(15), rcon_1_n31(15), aes_ctrl_lsfr_23_cycles_1_n4(15), aes_ctrl_lsfr_23_cycles_1_n12(15), aes_ctrl_lsfr_23_cycles_1_n5(15), aes_ctrl_lsfr_23_cycles_1_n10(15)] -log10(p) = 2.40691 --> OKAY
Cycle 17: @[SBOX_stage2Out[8](17)] ==> [SBOX_stage2Out[8](17), SBOX_stage2Out[8](16)] -log10(p) = 1.97661 --> OKAY
Cycle 18: @[SBOX_stage2Out[21](18)] ==> [SBOX_stage2Out[21](18), SBOX_stage2Out[21](17)] -log10(p) = 2.04158 --> OKAY
