Successfully parsed the settings file at "config.json".
Successfully opened the library file at "../../../../../../library.json".
Successfully read the library with name "NANG45".
Successfully found buffer cell with name "buf".
Successfully parsed 34 cells from the library.
"circuit"...done
Successfully matched 18 fresh mask signals [{Zmul1xDI[0]}, {Zmul1xDI[1]}, {Zmul1xDI[2]}, {Zmul1xDI[3]}, {Zmul2xDI[0]}, {Zmul2xDI[1]}, {Zmul2xDI[2]}, {Zmul2xDI[3]}, {Zmul3xDI[0]}, {Zmul3xDI[1]}, {Zmul3xDI[2]}, {Zmul3xDI[3]}, {Zinv1xDI[0]}, {Zinv1xDI[1]}, {Zinv2xDI[0]}, {Zinv2xDI[1]}, {Zinv3xDI[0]}, {Zinv3xDI[1]}].
Evaluate the circuit under the robust probing model!
115 different spots to probe detected!
Generate univariate probing sets...1150 probing sets generated...done!
Remove duplicated probing sets...890 probing sets remain...done!
Remove strictly less informative probing sets...Setting univariate case...done! 738 probing sets remain!
-------------------------------------------------------------------------------------------------------------------------------------
| #Standard Probes | #Extended Probes | #Probing Sets | Minimum #Probes per Set | Maximum #Probes per Set | Average #Probes per Set |
-------------------------------------------------------------------------------------------------------------------------------------
|             1150 |             1860 |           738 |                       6 |                      26 |               14.439024 |
-------------------------------------------------------------------------------------------------------------------------------------

Evaluate security under the robust probing model!
----------------------------------------------------------------------------------------------------------------------------------------
|      Elapsed Time |      Required Ram |  Processed Simulations | Probing Set with highest Information Leakage |  -log10(p) |  Status |
----------------------------------------------------------------------------------------------------------------------------------------
|        12.045428s |        7.470304GB |                1000000 |                      [mult_msb_FFxDN[11](7)] |   3.308901 |    OKAY |
|        22.522849s |        7.470304GB |                2000000 |                         [InverterInxD[6](4)] |   3.270975 |    OKAY |
|        32.868721s |        7.470304GB |                3000000 |          [inverter_gf24_b_mul_e_FFxDN[6](6)] |   2.955514 |    OKAY |
|        43.212300s |        7.470436GB |                4000000 |          [inverter_gf24_a_mul_b_FFxDN[2](7)] |   2.447133 |    OKAY |
|        53.522266s |        7.470436GB |                5000000 |                         [InverterInxD[1](7)] |   2.729647 |    OKAY |
|        63.834620s |        7.470436GB |                6000000 |                      [mult_msb_FFxDN[11](5)] |   2.174759 |    OKAY |
|        74.194977s |        7.470700GB |                7000000 |                      [mult_msb_FFxDN[11](5)] |   3.785034 |    OKAY |
|        84.729092s |        7.470700GB |                8000000 |                      [mult_msb_FFxDN[11](5)] |   3.129137 |    OKAY |
|        95.167617s |        7.470700GB |                9000000 |                      [mult_msb_FFxDN[11](5)] |   2.345976 |    OKAY |
|       105.591193s |        7.470700GB |               10000000 |                       [mult_lsb_FFxDN[5](6)] |   2.513192 |    OKAY |
|       116.003536s |        7.470700GB |               11000000 |          [inverter_gf24_a_mul_b_FFxDN[1](3)] |   2.425674 |    OKAY |
|       126.539524s |        7.470700GB |               12000000 |                       [mult_lsb_FFxDN[5](6)] |   2.226381 |    OKAY |
|       137.066922s |        7.470700GB |               13000000 |                    [inverter_gf24_ExD[2](6)] |   2.272785 |    OKAY |
|       147.509834s |        7.471228GB |               14000000 |                       [mult_msb_FFxDN[7](8)] |   2.124408 |    OKAY |
|       158.006831s |        7.471228GB |               15000000 |                                 [QxDO[8](8)] |   1.995679 |    OKAY |
|       168.603546s |        7.471228GB |               16000000 |                                 [QxDO[8](8)] |   2.266395 |    OKAY |
|       179.502559s |        7.471228GB |               17000000 |                       [mult_lsb_FFxDN[7](9)] |   2.200406 |    OKAY |
|       190.067952s |        7.471228GB |               18000000 |                       [mult_msb_FFxDN[7](8)] |   2.275046 |    OKAY |
|       200.994107s |        7.471228GB |               19000000 |                       [mult_msb_FFxDN[7](8)] |   2.005776 |    OKAY |
|       211.535373s |        7.471228GB |               20000000 |                       [mult_lsb_FFxDN[7](9)] |   2.100147 |    OKAY |
|       222.160264s |        7.471228GB |               21000000 |          [inverter_gf24_a_mul_e_FFxDN[0](5)] |   2.062435 |    OKAY |
|       232.681705s |        7.471228GB |               22000000 |                       [mult_lsb_FFxDN[7](9)] |   2.335706 |    OKAY |
|       243.294835s |        7.471228GB |               23000000 |                       [mult_lsb_FFxDN[7](9)] |   1.996545 |    OKAY |
|       253.899558s |        7.471228GB |               24000000 |                       [mult_lsb_FFxDN[1](6)] |   2.127149 |    OKAY |
