Successfully parsed the settings file at "config.json".
Successfully opened the library file at "../../../../../../library.json".
Successfully read the library with name "NANG45".
Successfully found buffer cell with name "buf".
Successfully parsed 34 cells from the library.
"circuit"...done
Successfully matched 0 fresh mask signals [].
Evaluate the circuit under the robust probing model!
3210 different spots to probe detected!
Generate univariate probing sets...9630 probing sets generated...done!
-------------------------------------------------------------------------------------------------------------------------------------
| #Standard Probes | #Extended Probes | #Probing Sets | Minimum #Probes per Set | Maximum #Probes per Set | Average #Probes per Set |
-------------------------------------------------------------------------------------------------------------------------------------
|             9630 |              993 |          9630 |                       1 |                     240 |               41.021807 |
-------------------------------------------------------------------------------------------------------------------------------------

Evaluate security under the robust probing model!
----------------------------------------------------------------------------------------------------------------------------------------
|      Elapsed Time |      Required Ram |  Processed Simulations | Probing Set with highest Information Leakage |  -log10(p) |  Status |
----------------------------------------------------------------------------------------------------------------------------------------
|        90.241379s |        7.442420GB |                1000000 |       [top_AND_M49_U1_OperationInst_q[3](2)] |   2.950323 |    OKAY |
|       185.283885s |        7.442552GB |                2000000 |       [top_AND_M53_U1_OperationInst_q[5](2)] |   2.715178 |    OKAY |
|       275.719815s |        7.442552GB |                3000000 |       [top_AND_M53_U1_OperationInst_q[5](2)] |   2.868173 |    OKAY |
|       365.984663s |        7.442684GB |                4000000 |[top_AND_M47_U1_OperationInst_andInst0_n3(2)] |   3.048673 |    OKAY |
|       456.102406s |        7.442684GB |                5000000 |                [top_XOR_L4_U1_xorInst_n9(2)] |   3.306146 |    OKAY |
|       546.390245s |        7.442684GB |                6000000 | [top_AND_M58_U1_OperationInst_orInst1_n6(2)] |   3.040631 |    OKAY |
|       636.832956s |        7.442948GB |                7000000 | [top_AND_M9_U1_OperationInst_andInst6_n3(2)] |   2.780201 |    OKAY |
|       733.542431s |        7.442948GB |                8000000 | [top_AND_M53_U1_OperationInst_orInst2_n6(2)] |   2.747416 |    OKAY |
|       826.289983s |        7.442948GB |                9000000 |[top_AND_M35_U1_OperationInst_andInst7_n3(2)] |   2.396964 |    OKAY |
|       918.342639s |        7.442948GB |               10000000 | [top_AND_M60_U1_OperationInst_orInst2_n5(2)] |   2.238816 |    OKAY |
|      1011.421852s |        7.442948GB |               11000000 |                [top_XOR_L1_U1_xorInst_n9(2)] |   2.360777 |    OKAY |
|      1113.028142s |        7.442948GB |               12000000 |[top_AND_M56_U1_OperationInst_andInst2_n3(2)] |   2.601523 |    OKAY |
