Report file after 3840 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 2: @[inst1_Step1_ins_Step1[3](2)] ==> [r[0](2), b[0](2), a[0](2), r[0](1), b[0](1), a[0](1)] -log10(p) = 2.12072 --> OKAY
Cycle 3: @[inst1_Step2_inst_step2_ins_0_1_value(3)] ==> [inst1_Step1_reg[1](3), inst1_in1_reg[0](3), inst1_in1_reg[1](3), inst1_Step1_reg[1](2), inst1_in1_reg[0](2), inst1_in1_reg[1](2)] -log10(p) = 2.25024 --> OKAY
Cycle 4: @[t[1](4)] ==> [inst1_Step2_inst_Step2_reg[0](4), inst1_Step2_inst_Step2_reg[1](4), inst1_Step2_inst_Step2_reg[2](4), inst1_Step2_inst_Step2_reg[3](4), inst1_Step2_inst_Step2_reg[0](3), inst1_Step2_inst_Step2_reg[1](3), inst1_Step2_inst_Step2_reg[2](3), inst1_Step2_inst_Step2_reg[3](3)] -log10(p) = 1.73253 --> OKAY
Cycle 5: @[d[1](5)] ==> [inst2_Step2_inst_Step2_reg[0](5), inst2_Step2_inst_Step2_reg[1](5), inst2_Step2_inst_Step2_reg[2](5), inst2_Step2_inst_Step2_reg[3](5), inst2_Step2_inst_Step2_reg[0](4), inst2_Step2_inst_Step2_reg[1](4), inst2_Step2_inst_Step2_reg[2](4), inst2_Step2_inst_Step2_reg[3](4)] -log10(p) = 1.06734 --> OKAY
Cycle 6: @[inst2_Step1_ins_Step1[3](6)] ==> [t[0](6), r[1](6), c[0](6), t[0](5), r[1](5), c[0](5)] -log10(p) = 1.14697 --> OKAY
Cycle 7: @[inst2_out0_mid_0_(7)] ==> [inst2_out0_mid_0_(7), inst2_out0_mid_0_(6)] -log10(p) = 1.15394 --> OKAY
Cycle 8: @[d[0](8)] ==> [d[0](8), d[0](7)] -log10(p) = 1.15394 --> OKAY
Cycle 9: @[d[0](9)] ==> [d[0](9), d[0](8)] -log10(p) = 0.89177 --> OKAY
Cycle 10: @[inst2_Step2_inst_step2_ins_0_0_value(10)] ==> [inst2_in1_reg[0](10), inst2_in1_reg[1](10), inst2_Step1_reg[0](10), inst2_in1_reg[0](9), inst2_in1_reg[1](9), inst2_Step1_reg[0](9)] -log10(p) = 0.439079 --> OKAY

2.) Summary of the most leakging (and already active) probing sets: 

@[inst1_Step2_inst_step2_ins_0_1_value(3)] ==> [inst1_Step1_reg[1](3), inst1_in1_reg[0](3), inst1_in1_reg[1](3), inst1_Step1_reg[1](2), inst1_in1_reg[0](2), inst1_in1_reg[1](2)] -log10(p) = 2.25024 --> OKAY
@[inst1_Step1_ins_Step1[3](2)] ==> [r[0](2), b[0](2), a[0](2), r[0](1), b[0](1), a[0](1)] -log10(p) = 2.12072 --> OKAY
@[t[1](4)] ==> [inst1_Step2_inst_Step2_reg[0](4), inst1_Step2_inst_Step2_reg[1](4), inst1_Step2_inst_Step2_reg[2](4), inst1_Step2_inst_Step2_reg[3](4), inst1_Step2_inst_Step2_reg[0](3), inst1_Step2_inst_Step2_reg[1](3), inst1_Step2_inst_Step2_reg[2](3), inst1_Step2_inst_Step2_reg[3](3)] -log10(p) = 1.73253 --> OKAY
@[inst2_Step2_inst_step2_ins_0_0_value(2)] ==> [inst2_in1_reg[0](2), inst2_in1_reg[1](2), inst2_Step1_reg[0](2), inst2_in1_reg[0](1), inst2_in1_reg[1](1), inst2_Step1_reg[0](1)] -log10(p) = 1.71812 --> OKAY
@[inst2_Step2_inst_step2_ins_0_2_value(2)] ==> [inst2_Step1_reg[2](2), inst2_in1_reg[0](2), inst2_in1_reg[1](2), inst2_Step1_reg[2](1), inst2_in1_reg[0](1), inst2_in1_reg[1](1)] -log10(p) = 1.71812 --> OKAY
@[inst2_Step2_inst_step2_ins_0_0_value(3)] ==> [inst2_in1_reg[0](3), inst2_in1_reg[1](3), inst2_Step1_reg[0](3), inst2_in1_reg[0](2), inst2_in1_reg[1](2), inst2_Step1_reg[0](2)] -log10(p) = 1.69029 --> OKAY
@[inst2_Step2_inst_step2_ins_0_2_value(3)] ==> [inst2_Step1_reg[2](3), inst2_in1_reg[0](3), inst2_in1_reg[1](3), inst2_Step1_reg[2](2), inst2_in1_reg[0](2), inst2_in1_reg[1](2)] -log10(p) = 1.69029 --> OKAY
@[inst1_Step2_inst_step2_ins_0_0_value(3)] ==> [inst1_in1_reg[0](3), inst1_in1_reg[1](3), inst1_Step1_reg[0](3), inst1_in1_reg[0](2), inst1_in1_reg[1](2), inst1_Step1_reg[0](2)] -log10(p) = 1.59548 --> OKAY
@[inst1_Step2_inst_step2_ins_0_0_value(2)] ==> [inst1_in1_reg[0](2), inst1_in1_reg[1](2), inst1_Step1_reg[0](2), inst1_in1_reg[0](1), inst1_in1_reg[1](1), inst1_Step1_reg[0](1)] -log10(p) = 1.39623 --> OKAY
@[d[1](4)] ==> [inst2_Step2_inst_Step2_reg[0](4), inst2_Step2_inst_Step2_reg[1](4), inst2_Step2_inst_Step2_reg[2](4), inst2_Step2_inst_Step2_reg[3](4), inst2_Step2_inst_Step2_reg[0](3), inst2_Step2_inst_Step2_reg[1](3), inst2_Step2_inst_Step2_reg[2](3), inst2_Step2_inst_Step2_reg[3](3)] -log10(p) = 1.34756 --> OKAY
