Successfully parsed the settings file at "config.json".
Successfully opened the library file at "../../../../../../library.json".
Successfully read the library with name "NANG45".
Successfully found buffer cell with name "buf".
Successfully found 9 relaxed cells with predefined functions [not, xnor2, xor2, nor2, nand2, or2, and2, and3, or4].
Successfully found 0 relaxed cells without predefined functions [].
Successfully parsed 34 cells from the library.
"circuit"...done
Successfully matched 0 fresh mask signals [].
Evaluate the circuit under the robust but relaxed probing model!
139 different spots to probe detected!
Generate univariate probing sets...417 probing sets generated...done!
-------------------------------------------------------------------------------------------------------------------------------------
| #Standard Probes | #Extended Probes | #Probing Sets | Minimum #Probes per Set | Maximum #Probes per Set | Average #Probes per Set |
-------------------------------------------------------------------------------------------------------------------------------------
|              417 |              501 |           417 |                       4 |                      63 |               16.280576 |
-------------------------------------------------------------------------------------------------------------------------------------

Evaluate security under the relaxed robust probing model!
----------------------------------------------------------------------------------------------------------------------------------------
|      Elapsed Time |      Required Ram |  Processed Simulations | Probing Set with highest Information Leakage |  -log10(p) |  Status |
----------------------------------------------------------------------------------------------------------------------------------------
|         7.264950s |        7.344012GB |                1000000 |                                   [f1_n2(1)] |   1.682408 |    OKAY |
|        12.783746s |        7.344012GB |                2000000 |                                   [g2_n5(1)] |   1.818383 |    OKAY |
|        18.482708s |        7.344012GB |                3000000 |                                   [g2_n5(1)] |   1.911125 |    OKAY |
|        24.176497s |        7.344012GB |                4000000 |                                   [g2_n5(1)] |   2.575882 |    OKAY |
|        29.952443s |        7.344012GB |                5000000 |                                   [g2_n5(1)] |   4.051825 |    OKAY |
|        35.661093s |        7.344012GB |                6000000 |                                   [g2_n5(1)] |   4.581036 |    OKAY |
|        41.314494s |        7.344012GB |                7000000 |                                   [g2_n5(1)] |   4.860002 |    OKAY |
|        47.076650s |        7.344012GB |                8000000 |                                   [g2_n5(1)] |   4.209464 |    OKAY |
|        52.813482s |        7.409548GB |                9000000 |                                   [g2_n5(1)] |   3.994224 |    OKAY |
|        58.449600s |        7.409548GB |               10000000 |                                   [g2_n5(1)] |   3.519143 |    OKAY |
|        64.128054s |        7.409548GB |               11000000 |                                   [g2_n5(1)] |   3.601201 |    OKAY |
|        69.835382s |        7.344012GB |               12000000 |                                   [g1_n9(2)] |   3.818490 |    OKAY |
|        75.574990s |        7.344012GB |               13000000 |                                   [g2_n5(1)] |   4.098116 |    OKAY |
|        81.455036s |        7.344012GB |               14000000 |                                   [g2_n5(1)] |   3.434133 |    OKAY |
|        87.330067s |        7.409548GB |               15000000 |                                   [g2_n5(1)] |   3.314110 |    OKAY |
|        93.059443s |        7.409548GB |               16000000 |                                   [g2_n5(1)] |   3.861580 |    OKAY |
|        98.845857s |        7.409548GB |               17000000 |                                   [g2_n5(1)] |   4.164196 |    OKAY |
|       104.549655s |        7.409548GB |               18000000 |                                   [g2_n5(1)] |   4.088195 |    OKAY |
|       110.321696s |        7.344012GB |               19000000 |                                   [g2_n5(1)] |   4.068476 |    OKAY |
|       116.094212s |        7.344012GB |               20000000 |                                   [g2_n5(1)] |   3.668054 |    OKAY |
|       121.885892s |        7.344012GB |               21000000 |                                   [g2_n5(1)] |   3.821130 |    OKAY |
|       127.619429s |        7.344012GB |               22000000 |                                   [g2_n5(1)] |   4.224535 |    OKAY |
|       133.479195s |        7.344012GB |               23000000 |                                   [g2_n5(1)] |   4.446466 |    OKAY |
|       139.457418s |        7.344012GB |               24000000 |                                   [g2_n5(1)] |   4.327331 |    OKAY |
|       145.291487s |        7.344012GB |               25000000 |                                   [g2_n5(1)] |   4.701090 |    OKAY |
|       151.036926s |        7.344012GB |               26000000 |                                   [g2_n5(1)] |   4.663739 |    OKAY |
|       156.736155s |        7.409548GB |               27000000 |                                   [g2_n5(1)] |   5.086217 | LEAKAGE |
|       162.577992s |        7.409548GB |               28000000 |                                   [g2_n5(1)] |   5.098950 | LEAKAGE |
|       168.367377s |        7.409548GB |               29000000 |                                   [g2_n5(1)] |   5.108927 | LEAKAGE |
|       174.292783s |        7.409548GB |               30000000 |                                   [g2_n5(1)] |   4.884214 |    OKAY |
|       180.113335s |        7.409548GB |               31000000 |                                   [g2_n5(1)] |   4.552807 |    OKAY |
|       185.848254s |        7.344012GB |               32000000 |                                   [g2_n5(1)] |   4.232991 |    OKAY |
|       191.633461s |        7.344012GB |               33000000 |                                   [g2_n5(1)] |   4.476505 |    OKAY |
|       197.452268s |        7.344012GB |               34000000 |                                   [g2_n5(1)] |   4.220435 |    OKAY |
|       203.194079s |        7.344012GB |               35000000 |                                   [g2_n5(1)] |   3.591345 |    OKAY |
|       208.978805s |        7.344012GB |               36000000 |                                   [g2_n5(1)] |   3.772708 |    OKAY |
