Report file after 96000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 3: @[md1FF_state_gff_2_n30(3)] ==> [md1FF_permOut[5](3), md1FF_permOut[17](3), md1FF_state_gff_2_n34(3), data_in2[5](3), fsm_ps_state_2_(3), fsm_n7(3), fsm_n8(3), fsm_n35(3), md1FF_permOut[5](2), md1FF_permOut[17](2), md1FF_state_gff_2_n34(2), data_in2[5](2), fsm_ps_state_2_(2), fsm_n7(2), fsm_n8(2), fsm_n35(2)] -log10(p) = 2.05768 --> OKAY
Cycle 4: @[md2FF_state_gff_9_n32(4)] ==> [md2FF_state_gff_9_n36(4), data_in3[32](4), md2FF_permOut[8](4), sboxTI_g1Reg[1](4), sboxTI_g1Reg[3](4), sboxTI_g1Reg[0](4), sboxTI_g2Reg[0](4), sboxTI_g2Reg[1](4), fsm_ps_state_2_(4), fsm_n7(4), fsm_n8(4), fsm_n35(4), md2FF_state_gff_9_n36(3), data_in3[32](3), md2FF_permOut[8](3), sboxTI_g1Reg[1](3), sboxTI_g1Reg[3](3), sboxTI_g1Reg[0](3), sboxTI_g2Reg[0](3), sboxTI_g2Reg[1](3), fsm_ps_state_2_(3), fsm_n7(3), fsm_n8(3), fsm_n35(3)] -log10(p) = 2.57384 --> OKAY
Cycle 5: @[stateFF_state_gff_3_n31(5)] ==> [stateFF_permOut[8](5), stateFF_state_gff_3_n35(5), data_in1[8](5), stateFF_permOut[2](5), fsm_ps_state_2_(5), fsm_n7(5), fsm_n8(5), fsm_n35(5), stateFF_permOut[8](4), stateFF_state_gff_3_n35(4), data_in1[8](4), stateFF_permOut[2](4), fsm_ps_state_2_(4), fsm_n7(4), fsm_n8(4), fsm_n35(4)] -log10(p) = 3.19129 --> OKAY
Cycle 6: @[md2FF_state_gff_3_n30(6)] ==> [md2FF_permOut[9](6), md2FF_permOut[18](6), md2FF_state_gff_3_n34(6), data_in3[9](6), fsm_ps_state_2_(6), fsm_n7(6), fsm_n8(6), fsm_n35(6), md2FF_permOut[9](5), md2FF_permOut[18](5), md2FF_state_gff_3_n34(5), data_in3[9](5), fsm_ps_state_2_(5), fsm_n7(5), fsm_n8(5), fsm_n35(5)] -log10(p) = 2.50674 --> OKAY
Cycle 7: @[md2FF_state_gff_11_n32(7)] ==> [md2FF_state_gff_11_n36(7), data_in3[40](7), md2FF_permOut[40](7), md2FF_permOut[10](7), fsm_ps_state_2_(7), fsm_n7(7), fsm_n8(7), fsm_n35(7), md2FF_state_gff_11_n36(6), data_in3[40](6), md2FF_permOut[40](6), md2FF_permOut[10](6), fsm_ps_state_2_(6), fsm_n7(6), fsm_n8(6), fsm_n35(6)] -log10(p) = 3.68001 --> OKAY
Cycle 8: @[stateFF_state_gff_11_n31(8)] ==> [stateFF_state_gff_11_n35(8), data_in1[41](8), stateFF_permOut[41](8), stateFF_permOut[26](8), fsm_ps_state_2_(8), fsm_n7(8), fsm_n8(8), fsm_n35(8), stateFF_state_gff_11_n35(7), data_in1[41](7), stateFF_permOut[41](7), stateFF_permOut[26](7), fsm_ps_state_2_(7), fsm_n7(7), fsm_n8(7), fsm_n35(7)] -log10(p) = 2.52986 --> OKAY
Cycle 9: @[md1FF_state_gff_16_n31(9)] ==> [md1FF_state_gff_16_n35(9), data_in2[60](9), md1FF_permOut[60](9), md1FF_permOut[15](9), fsm_ps_state_2_(9), fsm_n7(9), fsm_n8(9), fsm_n35(9), md1FF_state_gff_16_n35(8), data_in2[60](8), md1FF_permOut[60](8), md1FF_permOut[15](8), fsm_ps_state_2_(8), fsm_n7(8), fsm_n8(8), fsm_n35(8)] -log10(p) = 2.22843 --> OKAY
Cycle 10: @[md2FF_state_gff_1_n31(10)] ==> [md2FF_state_gff_1_n35(10), data_in3[0](10), sboxTI_g1Reg[1](10), sboxTI_g1Reg[0](10), sboxTI_g1Reg[2](10), sboxTI_g2Reg[0](10), sboxTI_g2Reg[2](10), fsm_ps_state_2_(10), fsm_n7(10), fsm_n8(10), fsm_n35(10), md2FF_state_gff_1_n35(9), data_in3[0](9), sboxTI_g1Reg[1](9), sboxTI_g1Reg[0](9), sboxTI_g1Reg[2](9), sboxTI_g2Reg[0](9), sboxTI_g2Reg[2](9), fsm_ps_state_2_(9), fsm_n7(9), fsm_n8(9), fsm_n35(9)] -log10(p) = 2.2002 --> OKAY
Cycle 11: @[md2FF_state_gff_7_n31(11)] ==> [md2FF_permOut[25](11), md2FF_state_gff_7_n35(11), data_in3[25](11), md2FF_permOut[22](11), fsm_ps_state_2_(11), fsm_n7(11), fsm_n8(11), fsm_n35(11), md2FF_permOut[25](10), md2FF_state_gff_7_n35(10), data_in3[25](10), md2FF_permOut[22](10), fsm_ps_state_2_(10), fsm_n7(10), fsm_n8(10), fsm_n35(10)] -log10(p) = 2.91875 --> OKAY
Cycle 12: @[DataOutReg3_gff_n262(12)] ==> [data_out3[0](12), md2Reg[0](12), fsm_ps_state_2_(12), fsm_n7(12), fsm_n35(12), data_out3[0](11), md2Reg[0](11), fsm_ps_state_2_(11), fsm_n7(11), fsm_n35(11)] -log10(p) = 2.57384 --> OKAY
