Report file after 12800 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 6: @[stateFF_state_gff_9_SFF_0_n6(6)] ==> [stateFF_state_gff_9_SFF_0_n7(6), stateFF_inputPar[8](6), sbox_g_reg[1](6), sbox_g_reg[2](6), sbox_g_reg[3](6), sbox_g_reg[4](6), dataIn1[2](6), fsm_ps_state_1_(6), fsm_n9(6), fsm_n7(6), enKey(6), stateFF_state_gff_9_SFF_0_n7(5), stateFF_inputPar[8](5), sbox_g_reg[1](5), sbox_g_reg[2](5), sbox_g_reg[3](5), sbox_g_reg[4](5), dataIn1[2](5), fsm_ps_state_1_(5), fsm_n9(5), fsm_n7(5), enKey(5)] -log10(p) = 1.12601 --> OKAY
Cycle 7: @[md1FF_state_gff_1_SFF_1_n7(7)] ==> [sbox_f_reg[5](7), sbox_f_reg[6](7), sbox_f_reg[7](7), sbox_f_reg[8](7), md1FF_inputPar[1](7), md1FF_state_gff_1_SFF_1_n8(7), dataIn2[1](7), fsm_ps_state_1_(7), fsm_n9(7), fsm_n7(7), enKey(7), sbox_f_reg[5](6), sbox_f_reg[6](6), sbox_f_reg[7](6), sbox_f_reg[8](6), md1FF_inputPar[1](6), md1FF_state_gff_1_SFF_1_n8(6), dataIn2[1](6), fsm_ps_state_1_(6), fsm_n9(6), fsm_n7(6), enKey(6)] -log10(p) = 1.63836 --> OKAY
Cycle 8: @[stateFF_state_gff_9_SFF_2_n6(8)] ==> [stateFF_inputPar[40](8), stateFF_state_gff_9_SFF_2_n7(8), stateFF_inputPar[34](8), fsm_n9(8), fsm_n7(8), enKey(8), stateFF_inputPar[40](7), stateFF_state_gff_9_SFF_2_n7(7), stateFF_inputPar[34](7), fsm_n9(7), fsm_n7(7), enKey(7)] -log10(p) = 1.12601 --> OKAY
Cycle 9: @[stateFF_state_gff_9_SFF_3_n6(9)] ==> [stateFF_inputPar[56](9), stateFF_state_gff_9_SFF_3_n7(9), stateFF_inputPar[35](9), fsm_n9(9), fsm_n7(9), enKey(9), stateFF_inputPar[56](8), stateFF_state_gff_9_SFF_3_n7(8), stateFF_inputPar[35](8), fsm_n9(8), fsm_n7(8), enKey(8)] -log10(p) = 1.12601 --> OKAY
Cycle 10: @[md1FF_state_gff_5_SFF_0_n7(10)] ==> [md1FF_state_gff_5_SFF_0_n8(10), md1FF_inputPar[4](10), sbox_f_reg[5](10), sbox_f_reg[6](10), sbox_f_reg[7](10), sbox_f_reg[8](10), dataIn2[1](10), fsm_ps_state_1_(10), fsm_n9(10), fsm_n7(10), enKey(10), md1FF_state_gff_5_SFF_0_n8(9), md1FF_inputPar[4](9), sbox_f_reg[5](9), sbox_f_reg[6](9), sbox_f_reg[7](9), sbox_f_reg[8](9), dataIn2[1](9), fsm_ps_state_1_(9), fsm_n9(9), fsm_n7(9), enKey(9)] -log10(p) = 1.50387 --> OKAY
Cycle 11: @[md1FF_state_gff_6_SFF_0_n7(11)] ==> [md1FF_state_gff_6_SFF_0_n8(11), md1FF_inputPar[20](11), md1FF_inputPar[5](11), fsm_n9(11), fsm_n7(11), enKey(11), md1FF_state_gff_6_SFF_0_n8(10), md1FF_inputPar[20](10), md1FF_inputPar[5](10), fsm_n9(10), fsm_n7(10), enKey(10)] -log10(p) = 1.63836 --> OKAY
Cycle 12: @[md1FF_state_gff_1_SFF_3_n7(12)] ==> [sbox_h_reg[5](12), sbox_h_reg[6](12), sbox_h_reg[7](12), sbox_h_reg[8](12), md1FF_inputPar[3](12), md1FF_state_gff_1_SFF_3_n8(12), dataIn2[3](12), fsm_ps_state_1_(12), fsm_n9(12), fsm_n7(12), enKey(12), sbox_h_reg[5](11), sbox_h_reg[6](11), sbox_h_reg[7](11), sbox_h_reg[8](11), md1FF_inputPar[3](11), md1FF_state_gff_1_SFF_3_n8(11), dataIn2[3](11), fsm_ps_state_1_(11), fsm_n9(11), fsm_n7(11), enKey(11)] -log10(p) = 1.70806 --> OKAY
Cycle 13: @[md1FF_state_gff_2_SFF_3_n7(13)] ==> [md1FF_inputPar[7](13), md1FF_inputPar[49](13), md1FF_state_gff_2_SFF_3_n8(13), fsm_n9(13), fsm_n7(13), enKey(13), md1FF_inputPar[7](12), md1FF_inputPar[49](12), md1FF_state_gff_2_SFF_3_n8(12), fsm_n9(12), fsm_n7(12), enKey(12)] -log10(p) = 1.65458 --> OKAY
Cycle 14: @[stateFF_state_gff_1_SFF_1_n7(14)] ==> [sbox_f_reg[1](14), sbox_f_reg[2](14), sbox_f_reg[3](14), sbox_f_reg[4](14), stateFF_inputPar[1](14), stateFF_state_gff_1_SFF_1_n8(14), dataIn1[1](14), fsm_ps_state_1_(14), fsm_n9(14), fsm_n7(14), enKey(14), sbox_f_reg[1](13), sbox_f_reg[2](13), sbox_f_reg[3](13), sbox_f_reg[4](13), stateFF_inputPar[1](13), stateFF_state_gff_1_SFF_1_n8(13), dataIn1[1](13), fsm_ps_state_1_(13), fsm_n9(13), fsm_n7(13), enKey(13)] -log10(p) = 2.01485 --> OKAY
Cycle 15: @[md1FF_state_gff_4_SFF_3_n6(15)] ==> [md1FF_inputPar[15](15), md1FF_inputPar[51](15), md1FF_state_gff_4_SFF_3_n7(15), fsm_n9(15), fsm_n7(15), enKey(15), md1FF_inputPar[15](14), md1FF_inputPar[51](14), md1FF_state_gff_4_SFF_3_n7(14), fsm_n9(14), fsm_n7(14), enKey(14)] -log10(p) = 1.56477 --> OKAY
